이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
낙지일번지,"해물,생선",4.3,443,"서울 강북구 도봉로89길 10 1층
(지번) 수유동 191-38",37.6392569284659,127.026081517772,02-907-1017,메뉴 없음,영업시간 정보 없음
진미기사식당,기사식당,4.0,288,"서울 강북구 한천로 1163 1층
(지번) 수유동 273-77",37.6474221815511,127.016015740135,02-998-0010,메뉴 없음,영업시간 정보 없음
산성골,"육류,고기",3.0,61,"서울 강북구 덕릉로 126
(지번) 번동 441-28",37.6347590276028,127.027676024898,02-989-7341,"한우특선모음(500g) (115,000원), 345진짜돼지갈비 (300g) (17,000원), 매운양념 돼지갈비(300g) (17,000원), 생돼지갈비 (230g) (17,000원), 한우 특등심(180g) (40,000원), 한우 꽃살(160g) (40,000원), 한우 갈비살(160g) (40,000원), 한우 생육회(180g) (25,000원), 숯불고기 100g+고기주는 함흥 물냉면 (10,000원), 숯불고기 100g+고기주는 함흥 비빔냉면 (10,000원), 숯불고기 100g+고기주는 함흥 회냉면 (12,000원), 간장게장 (10,000원), 양념게장 (10,000원), 갈비탕 (15,000원)",영업시간 정보 없음
미즐카페엠,카페,3.3,149,"서울 강북구 4.19로 107 1층
(지번) 수유동 535-11",37.6435578967693,127.003794761375,02-999-5055,메뉴 없음,영업시간 정보 없음
어니언 미아,카페,4.6,241,"서울 강북구 솔매로50길 55 서울강북우체국 1층
(지번) 미아동 127-9",37.6240291818415,127.02843349604,070-7816-2714,"에스프레소(Espresso) (4,000원), 허니프레소(Honey Espresso) (4,000원), 아메리카노(Americano) (4,000원), 카페라떼(Cafe latte) (4,500원), 카푸치노(Cappuccino) (4,500원), 크림 카푸치노(Cream Cappuccino) (5,500원), 플랫화이트(Flatwhite) (4,500원), 바닐라라떼(Vanilla latte) (5,500원), 매운 토마토 라떼 (7,000원), 히비스커스 앤 로지스 티 (7,000원), 네 종류의 베리가 들어간 소다 (8,000원), 시그니쳐 밀크 티 (8,000원), 유자 허니 블랙 티 (7,000원), 발로나 초콜릿 드링크 (6,000원)",영업시간 정보 없음
스시노칸도 수유점,"초밥,롤",4.0,156,"서울 강북구 한천로139나길 1 3층
(지번) 수유동 192-3",37.6390404163578,127.025278711331,02-997-5949,"활어모둠초밥 10p＋서비스2p (21,000원), 펄떡펄떡 광어 초밥 (9,500원), 생연어 초밥 (9,000원), 고급진 유부 초밥 (5,000원), 달콤 촉촉 계란초밥 (5,000원), 초새우 초밥 (6,000원), 인기 새우 반반 (11,000원), 인기 메뉴 내 맘대로 선택 5p (11,000원), 인기폭발 구운연어 초밥 8p (13,000원), 기운펄펄 민물장어 초밥 (12,000원), 칸도 초밥（Best 10p） (15,000원), 나미꼬 초밥（Best 12P (19,000원), 히로미 초밥（Best 14P (21,000원), 인기 메뉴 내 맘대로 선택 10p (22,000원), 샤르르~ 계란새우초밥 (11,000원), 특허받은 특별한 구운새우초밥 (11,000원), 어린이초밥세트 (12,000원), 큰새우 한마리 새우장 초밥 (11,000원), 참치 반반 (20,000원), 광어연어 반반 (19,000원), 붉은참치 (20,000원), 황세치 (20,000원), 연어롤 (12,000원), 볼케이노롤 (12,000원), 고소한 크림치즈 필라델피아롤 (12,000원), 캘리포니아롤 (9,000원), 치킨롤 (10,000원), 눈꽃치즈가 듬뿍 치즈새우롤 (10,000원), 앗뜨거~ 뜨끈뜨끈 우동 (6,000원), 얼음동동 냉모밀 (6,000원)",영업시간 정보 없음
다래함박스텍,"돈까스,우동",4.4,227,"서울 강북구 수유로 20-2
(지번) 수유동 56-45",37.6327683890657,127.019031673634,02-2241-7558,"함박스텍 (6,500원), 매운함박스텍 (7,000원), 돈까스 (6,500원), 매운돈까스 (7,000원), 생선까스 (7,000원), 곱배기 (1,500원)",영업시간 정보 없음
대광어회집,회,4.0,328,"서울 강북구 노해로 31 1층
(지번) 수유동 10-40",37.6384751516532,127.022546310141,02-903-6789,"대광어 (대) (65,000원), 대광어 (중) (50,000원), 대광어 (소) (35,000원), 농어 (1.3kg) (55,000원), 참돔 (1.3kg) (55,000원), 우럭(대) (55,000원), 우럭(중) (40,000원), 연어(대) (50,000원), 연어(중) (40,000원), 연어(소) (30,000원), 해삼 (20,000원), 멍게 (15,000원), 물회(대) (45,000원), 물회(중) (35,000원), 물회(소) (25,000원), 광어+연어(대) (55,000원), 광어+연어(중) (45,000원), 광어+연어(소) (35,000원), 광어+우럭(대) (60,000원), 광어+우럭(중) (50,000원), 광어+우럭(소) (40,000원), 광어+우럭+연어(대) (60,000원), 광어+우럭+연어(중) (50,000원), 방어(소)+광어(소) (95,000원)",영업시간 정보 없음
능이마을 미아본점,오리,3.7,56,"서울 강북구 솔샘로 330 1층
(지번) 미아동 65-5",37.61698513145,127.028593917337,02-987-5292,메뉴 없음,영업시간 정보 없음
조연탄 수유점,"육류,고기",4.5,245,"서울 강북구 한천로140길 20
(지번) 수유동 174-37",37.6407864624167,127.027568243831,02-996-8858,"제주먹고기 1인분(200g) (15,000원), 제주훌러덩껍데기(1인분) (10,000원)",영업시간 정보 없음
제일분식,분식,3.1,276,"서울 강북구 숭인로 65-3 숭인시장
(지번) 미아동 465-46",37.6125852455048,127.028957382492,02-985-7333,"쫄면 (5,000원), 물냉면 (5,000원), 국수 (3,500원), 라면 (3,500원), 우동 (3,500원), 계란 (500원), 떡볶이 (3,000원), 오뎅 (3,000원), 튀김 (3,000원), 순대 (3,000원), 꼬마김밥 (3,000원), 맛탕 (3,000원), 팥빙수 (3,500원), 잡채 (3,500원), 비빔냉면 (5,000원)",영업시간 정보 없음
장수마늘보쌈,"족발,보쌈",4.1,295,"서울 강북구 한천로 960 1층
(지번) 번동 455-2",37.635753827127,127.033816758662,02-997-6155,"모듬보쌈 (소) (27,000원), 물냉면 (8,000원), 비빔냉면 (8,500원), 해물칼국수 (8,000원), 해물수제비 (9,000원), 모듬보쌈(중) (32,000원), 모듬보쌈(대) (37,000원), 특(굴)동절기 (46,000원), 고기 추가 (14,000원), 굴 추가 (13,000원), 김치 추가 (5,000원), 야채(배추속) 추가 (5,000원), 냉면사리 (2,000원), 물만두 (6,000원), 공깃밥 (1,000원), 코다리회냉면 (11,000원)",영업시간 정보 없음
풍천장어마을,장어,3.0,78,"서울 강북구 삼양로181길 45
(지번) 우이동 216-14",37.6659304351951,127.010285460032,02-956-1991,"민물장어구이(600g) (84,000원), 민물장어구이(300g) (42,000원), 돼지왕숯불구이(320g) (20,000원), 생목살 (300g) (22,000원), 민물장어생포장(300g) (28,000원)",영업시간 정보 없음
착한낙지 북한산점,"해물,생선",3.9,40,"서울 강북구 4.19로 82 1층
(지번) 수유동 535-362",37.6456561189998,127.005756379029,02-905-7963,"(원조)낙지(볶음)덮밥 (13,000원), (보통맛)낙지(볶음)덮밥 (13,000원), 주꾸미(볶음)덮밥 (12,000원), 낙지갈비탕 (16,000원), 산낙지볶음 (43,000원), 연포탕 (중) (45,000원), 산낙지해물탕 (중) (45,000원), 산낙지초무침 (45,000원), 산낙지(탕탕이) (36,000원), 낙지해물파전 (18,000원)",영업시간 정보 없음
우리콩순두부,두부전문점,4.6,147,"서울 강북구 삼양로173길 46
(지번) 우이동 182-3",37.6625347588161,127.009925037194,02-995-5918,"콩국수 (10,000원), 순두부 (10,000원), 청국장 (10,000원), 김치비지 (10,000원), 두부김치 (20,000원), 두부부침 (18,000원), 황태구이 (12,000원), 제육볶음 (18,000원), 콩비지 (10,000원), 두부전골(소) (30,000원), 두부전골(대) (42,000원), 도토리묵 (15,000원), 녹두전(소) (13,000원), 녹두전(대) (15,000원), 모듬전 (20,000원), 생두부 (13,000원)",영업시간 정보 없음
선운산장,한식,4.3,57,"서울 강북구 삼양로173길 218
(지번) 우이동 260-11",37.6583113479675,127.00251273762,02-995-1543,"산장정식(2인이상) (15,000원), 능이백숙(닭/오리) (80,000원), 도토리묵 (20,000원), 해물파전 (20,000원), 토종닭볶음탕 (70,000원), 산채비빔밥 (12,000원), 두부전골(4인) (45,000원), 삼겹살(된장찌개 포함) (65,000원), 소갈비살(된장찌개 포함) (75,000원), 두부김치 (25,000원), 오리주물럭 (90,000원), 철판더덕구이 (40,000원), 감자전 (20,000원), 부추해물전 (20,000원), 오징어볶음 (30,000원)",영업시간 정보 없음
수유손칼국수,칼국수,3.1,149,"서울 강북구 도봉로101길 45
(지번) 수유동 167-3",37.6439676501236,127.028360985776,02-905-9949,"바지락칼국수 (9,000원), 소고기칼국수 (11,000원)",영업시간 정보 없음
군산해물탕,"매운탕,해물탕",3.4,27,"서울 강북구 한천로139길 41 1층
(지번) 수유동 191-77",37.638573375179,127.025141234309,,"해물탕(소) (40,000원), 해물찜(소) (50,000원), 꽃게범벅(중) (65,000원), 아구찜(소) (40,000원), 아구탕(소) (40,000원), 갑오징어숙회 (30,000원)",영업시간 정보 없음
황제,장어,4.1,10,"서울 강북구 노해로 42
(지번) 수유동 221-21",37.6391765795801,127.022955422684,02-999-1121,"양념꼼장어 (400g) (15,000원), 소금꼼장어 (400g) (15,000원), 무뼈닭발 (300g) (15,000원), 양념쭈꾸미 (400g) (15,000원), 껍데기 (450g) (15,000원)",영업시간 정보 없음
상미규카츠 수유본점,"돈까스,우동",3.5,421,"서울 강북구 도봉로87길 32 1층
(지번) 수유동 192-35",37.6390623626724,127.024168831288,02-996-8892,"규카츠 화로구이 정식 (16,500원), 상미 연어장 정식 (14,500원), 규카츠 그릴 정식 (16,500원), 규카츠 김치나베 정식 (15,000원), 상미 연어 정식 (13,500원), 매콤 커리 정식 (16,500원), 명란 안심 돈카츠 (15,500원), 규카츠 소고기 추가 (12,000원), 상미 연어구이 정식 (14,000원), 상미 연어뱃살 정식 (14,500원)",영업시간 정보 없음
베틀아구찜 베틀1호점,아구,4.0,19,"서울 강북구 한천로131길 27
(지번) 번동 416-122",37.6381747896871,127.027128699466,02-991-4414,"섞어찜(소) (39,000원), 꼬아찜(소) (37,000원), 해물찜(소 ) (45,000원), 아구찜(소) (35,000원), 전복낙지찜(소) (43,000원)",영업시간 정보 없음
크을농,한식,3.8,45,"서울 강북구 4.19로 91 1층
(지번) 수유동 535-17",37.6445810941798,127.005123241739,02-990-7900,"산채비빔밥2+더덕구이(더덕불고기선택) (38,000원), 곤드레솥밥2+더덕구이(더덕불고기선택) (38,000원), 곤드레들깨탕2+더덕구이(더덕불고기선택) (38,000원), 장뇌삼계탕 (18,000원), 야관문삼계탕 (20,000원), 능이삼계탕 (25,000원), 능이해신오리백숙 (150,000원), 능이해신토종백숙 (150,000원), 능이오리백숙 (75,000원), 능이토종백숙 (75,000원), 산채비빔밥 (12,000원), 곤드레솥밥 (12,000원), 곤드레들깨탕 (12,000원), 더덕구이 (15,000원), 더덕불고기 (15,000원), 감자전 (12,000원), 곤드레전 (12,000원), 메밀전 (8,000원), 두부전 (8,000원)",영업시간 정보 없음
고메스퀘어 수유점,뷔페,3.1,306,"서울 강북구 도봉로 308 9층
(지번) 번동 449-1",37.6356640949861,127.02383520999,02-6956-6275,"평일런치 (25,900원), 평일디너 (29,900원), 주말 및 공휴일 런치/디너 (33,900원), 평일 초등학생 (15,900원), 주말 및 공휴일 초등학생 (16,900원), 미취학 만36개월이상 (8,900원)",영업시간 정보 없음
황주집,"곱창,막창",3.4,210,"서울 강북구 도봉로 372 1층
(지번) 번동 463-45",37.6400798197791,127.028330615875,02-903-6275,"순곱창 (500g) (42,000원), 혼합곱창 (500g) (40,000원), 곱창/대창 (500g) (42,000원), 곱창/염통 (500g) (36,000원), 양/곱창 (500g) (42,000원), 양/대창 (500g) (42,000원), 대창 (500g) (42,000원), 염통 (500g) (30,000원), 양깃머리 (500g) (42,000원), 검은양 (500g) (36,000원), 소주 (5,000원), 맥주 (5,000원), 보해복분자 (12,000원), 청하 (5,000원), 매화수 (4,000원), 음료수 (2,000원), 볶음밥 (2,000원)",영업시간 정보 없음
연탄집,"육류,고기",3.6,52,"서울 강북구 오패산로77길 31
(지번) 번동 447-3",37.6362306836939,127.025329082403,02-990-0092,"생삼겹살 (15,000원), 생목살 (15,000원), 생가브리살 (16,000원), 소갈비살 (17,000원), 소안창살 (22,000원), 꽃갈비살 (22,000원), 한우생등심 (40,000원), 한우제비추리 (40,000원), 돼지갈비 (16,000원), 갈매기살 (17,000원)",영업시간 정보 없음
왕의장어,장어,3.5,158,"서울 강북구 삼양로181길 141-5 1,2층
(지번) 우이동 224-1",37.6695427529083,127.007702227504,02-999-9119,"키토산오리(700g) (52,000원), 훈제오리(700g) (55,000원), 장어탕 (8,000원), 된장찌개 (6,000원), 잔치국수 (6,000원)",영업시간 정보 없음
