이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
능라도 강남점,3.8,221,"서울 강남구 삼성로 534 싹아트센터 1층
(지번) 삼성동 151-7",37.5096776765406,127.055536318832,02-569-8939,"평양냉면 (15,000원), 비빔면 (15,000원), 평양온면 (15,000원), 평양온반 (13,000원), 만두국 (13,000원), 접시만두 (13,000원)"
뽕나무쟁이 선릉본점,4.2,686,"서울 강남구 역삼로65길 31 1층
(지번) 대치동 896-5",37.5031995277517,127.052001164203,02-558-9279,"모둠족발 (중) (42,000원), 모둠족발 (대) (47,000원), 모둠족발 (특대) (65,000원), 뽕족발 (중) (40,000원), 뽕족발 (대) (45,000원), 뽕족발 (특대) (63,000원), 양념족발 (중) (40,000원), 양념족발 (대) (45,000원), 양념족발 (특대) (63,000원), 쟁반막국수 (13,000원), 참치김치찌개 (10,000원)"
신동궁감자탕뼈숯불구이 선릉직영점,3.7,"1,045","서울 강남구 선릉로86길 39 1층
(지번) 대치동 890-44",37.5041064509375,127.052878172597,02-558-7944,"뼈해장국 (10,000원), 묵은지김치찜 (10,000원), 낙지뚝배기 (10,000원), 뼈숯불구이 (소) (36,000원), 감자탕 (소) (32,000원)"
땀땀 본점,3.6,"1,754","서울 강남구 강남대로98길 12-5 1층
(지번) 역삼동 817-31",37.5004148135036,127.027973437756,,"양지쌀국수 (10,000원), 우삼겹쌀국수 (11,000원), 꼬리쌀국수 (17,000원), 힘줄쌀국수 (15,000원), 프리미엄 보양 쌀국수 (16,000원), 매운 소곱창 쌀국수 (15,000원), 숯불 직화 소고기 쌀국수 (13,000원), 숯불구이 돼지고기 덮밥 (12,000원), 하노이 분짜 (13,000원), 매운 쪽갈비 쌀국수 (16,000원), 매운 우삼겹 쌀국수 (12,000원), 양지와 우삼겹 쌀국수 (12,000원), 돼지갈비 쌀국수 (15,000원)"
평양면옥,3.2,175,"서울 강남구 논현로150길 6 1층
(지번) 논현동 66-2",37.518940804179,127.029156328901,02-549-5378,"제육 (34,000원), 제육반 (17,000원), 편육 (37,000원), 편육반 (19,000원), 냉면 (15,000원), 온면 (15,000원), 만두국 (15,000원), 비빔냉면 (15,000원), 접시만두 (15,000원), 접시만두반 (8,000원), 제육반 편육반 (36,000원), 불고기 (38,000원), 어복쟁반 大 (100,000원), 어복쟁반 小 (60,000원)"
마일스톤커피,4.5,844,"서울 강남구 논현로159길 49 1층
(지번) 신사동 554-4",37.521847450448,127.024334591638,070-4219-1195,"에스프레소 (4,500원), 아메리카노 (5,000원), 플랫화이트 (5,500원), 카페라떼 (5,500원), 비엔나커피 (6,500원), 아몬드라떼 (6,000원), 콜드브루 바닐라 라떼 (6,500원), 카푸치노 (5,800원), 바닐라빈라떼 (6,000원)"
수담한정식,3.5,184,"서울 강남구 봉은사로 418 조양빌딩 지하1층
(지번) 삼성동 113",37.5105107977587,127.045978619395,02-558-4900,"진연상 (62,000원), 수라상 (82,000원), 보리굴비정식 (점심) (30,000원), 보리굴비정식 (저녁) (40,000원), 선비상 (40,000원), 대감상 (50,000원), 용왕상 (120,000원), 담정식(평일점심특선) (29,000원)"
쵸이닷,3.4,397,"서울 강남구 도산대로 457 앙스돔빌딩 3층
(지번) 청담동 98-7",37.5244485547435,127.046552125487,02-518-0318,"포트 와인 소스를 곁들인 립아이 스테이크 (10,000원), 샤프론 리조또를 곁들인 송아지 정강이 찜 (가격정보 없음), 포도 소스를 곁들인 양갈비 스테이크 (가격정보 없음), 유자 크림 소스와 송어알을 곁들인 구운 연어 (가격정보 없음), 샤프론 리조또를 곁들인 왕새우 스튜 (가격정보 없음)"
돝고기506,3.5,361,"서울 강남구 테헤란로 145 지하1층
(지번) 역삼동 646-15",37.5007127382074,127.035192693211,02-6933-9506,"A506 숙성돼지고기 삼겹살 (150g) (19,000원), D806 숙성돼지고기 삼겹살 (150g) (22,000원), I506 숙성돼지고기 목살 (150g) (19,000원), 항정살 (150g) (19,000원), 늑간살 (150g) (19,000원), 한우육회 (35,000원), 차돌박이 (31,000원), 한우육회비빔밥 (15,000원), 제육쌈밥 (15,000원), 김치찌개 (10,000원), 트러플크림볶음밥 (14,000원), 크림볶음밥 (10,000원), 계란찜 (7,000원)"
뉴만두집,4.0,514,"서울 강남구 압구정로 338 1층
(지번) 신사동 661-1",37.5279245130015,127.038877956425,02-544-3710,"만두전골 (75,000원), 만두국 (15,000원), 빈대떡 (24,000원), 고추전 (24,000원), 비지 (12,000원)"
대우부대찌개,3.7,581,"서울 강남구 테헤란로25길 34 1층
(지번) 역삼동 641-18",37.5027507897379,127.035271910674,02-552-1663,"등심구이(150g) (43,000원), 안심구이(150g) (43,000원), 부대찌개 (15,000원), 등심부대찌개 (24,000원)"
울프강스테이크하우스,3.7,"1,309","서울 강남구 선릉로152길 21 영인빌딩 1층
(지번) 청담동 89-6",37.5244973932097,127.041463043475,02-556-8700,"포터하우스 스테이크 (100g) (31,000원), W코스 (1인) (225,000원), 클래식코스 (1인) (198,000원), 청담 런치 코스 (1인) (120,000원), 단품 메뉴 (변동가격)"
김북순큰남비집 신사본점,3.8,127,"서울 강남구 압구정로2길 15 신사아이빌 1층
(지번) 신사동 522",37.5207186841862,127.019955768192,02-543-9024,"참치김치찌개 (10,000원), 해물순두부찌개 (10,000원), 들깨버섯순두부찌개 (10,000원), 우렁된장찌개 (10,000원), 황태구이 (14,000원), 계란말이 (10,000원), 스팸김치찌개 (10,000원), 돼지김치볶음 (25,000원), 돼지김치찌개 (10,000원), 초란뚝베기탕 (10,000원)"
봉밀가 강남구청점,4.4,91,"서울 강남구 선릉로 664 1층
(지번) 삼성동 8-1",37.5158910703504,127.042316926707,02-546-2305,"평양 메밀물국수 (14,500원), 한우1++ 곰탕 (14,500원), 평양 메밀비빔국수 (14,500원), 평양 만둣국 (12,000원), 메밀전 (8,900원), 평양 손만두 (8,000원), 평양 지짐 손만두 (9,000원), 육회 비빔면 (19,800원), 한우 청홍탕 (18,000원)"
마켓오 압구정점,3.9,134,"서울 강남구 도산대로 310 2층
(지번) 논현동 91-6",37.5215381083611,127.035475775373,02-515-0105,"루꼴라 모짜렐라 플랫 브레드 (24,000원), 통 전복 오일 파스타 (26,000원), O'스테이크 (72,000원), 채끝 등심 리조토 (25,000원), O'봉골레 (25,000원)"
꽁티드툴레아 도산점,3.4,615,"서울 강남구 도산대로49길 39 1층
(지번) 신사동 646-21",37.5255631741936,127.036889294894,070-8846-8490,"Carrot lafe with hummus (15,000원), Gnocchi with classic tomato soup (16,000원), Fish cutlet toast (14,000원), Spicy tteol-bokki (16,500원), Jambon cheese brunch set (23,000원)"
교대이층집 강남역점,3.3,541,"서울 강남구 강남대로78길 14 2층
(지번) 역삼동 831-25",37.4948989334878,127.030554284573,02-562-7113,"2~3인 세트 (55,000원), 꽃삼겹 (150g) (17,000원), 통삼겹 (140g) (17,000원), 통목살 (160g) (17,000원), 항정살 (150g) (19,000원), 한우차돌박이 (150g) (29,000원), 한우채끝등심 (150g) (43,000원)"
이대성의진면목,3.9,424,"서울 강남구 삼성로100길 23-3 1층
(지번) 삼성동 153-64",37.5102268857967,127.057137953712,02-569-7577,"닭도리탕 (30,000원), 아귀꽃찜 (30,000원), 등심칼국수 (10,000원), 복칼국수 (11,000원), 평양식만두 (6,000원), 한우등심샤브샤브 (15,000원), 오늘보쌈 (30,000원), 한우생불고기 (16,000원)"
까폼 본점,4.0,"1,043","서울 강남구 선릉로153길 18 지하1층
(지번) 신사동 655-15",37.5248762621515,127.037988213227,02-6081-7318,"똠얌꿍 (20,000원), 뿌님팟퐁커리 (28,000원), 랭쎕 (30,000원), 팟 카파오 무 쌉 (13,000원), 카오 팟 (12,000원), 카오 카무 (13,000원), 그린 커리 (13,000원), 레드(파냉)커리 (13,000원), 마사만커리 (13,000원), 카오만 까이 (13,000원), 팟 씨유 (13,000원), 팟 키마오 (13,000원), 꾸에이띠어우느아 (12,000원), 똠얌 남콘 (14,000원), 똠얌 남싸이 (14,000원), 팟타이 (13,000원), 커무양 (18,000원), 카무 (24,000원), 쏨땀 (13,000원), 얌운센 (15,000원)"
알베르,3.0,698,"서울 강남구 강남대로102길 34
(지번) 역삼동 618-11",37.5030565318496,127.028103011462,02-566-6181,"알베르시그니처아이스크림라떼 (8,000원), 티라미수 (7,000원), 패션후르츠 에이드 (8,000원), 블루베리 에이드 (8,000원), 아메리카노 (6,000원)"
