이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
봉이밥,4.3,"1,240","서울 강서구 마곡중앙로 171 마곡나루역프라이빗타워2 1층 103~104호
(지번) 마곡동 757-2",37.5690270688312,126.827780298847,02-6954-0288,"보리밥 (9,500원), 털래기 (23,000원), 쭈꾸미정식(2인이상) (24,000원), 제육정식(2인이상) (24,000원), 코다리정식(2인이상) (30,000원), 떡갈비 (20,000원), 쭈꾸미볶음 (20,000원), 제육볶음 (20,000원), 코다리구이 (26,000원), 녹두전 (19,000원), 도토리묵무침 (15,000원), 소불고기정식 (29,000원), LA갈비 (45,000원)"
고성막국수,3.5,195,"서울 강서구 방화대로49길 6-7
(지번) 방화동 323-6",37.5774423477276,126.816128838129,02-2665-1205,"동치미막국수 (11,000원), 비빔막국수 (12,000원), 들기름막국수 (12,000원), 편육 (소) (25,000원)"
사모님짬뽕,3.3,295,"서울 강서구 금낭화로18길 10 1층
(지번) 방화동 453-27",37.5750796248244,126.812262768557,0507-1438-3422,"홍짬뽕 (10,000원), 홍짬뽕밥 (10,000원), 백짬뽕 (10,000원), 백짬뽕밥 (10,000원), 짜장면 (8,000원), 볶음밥 (9,000원), 수제만두튀김(한정수량) (7,000원), 깐풍탕수육 (25,000원)"
샤브20 서울발산역점,4.1,38,"서울 강서구 공항대로 261 2층 205호
(지번) 마곡동 727-1213",37.5591532341498,126.836520966803,02-2658-2005,"80분 주중 런치 (20,900원), 100분 디너(주말/공휴일 런치) (25,900원), 스페셜육수 개당(스키야끼/훠궈) (1,000원)"
조연탄,4.0,598,"서울 강서구 곰달래로60길 33 1층
(지번) 화곡동 782-11",37.5307946364804,126.863289765159,070-7641-2008,"제주 먹고기 (200g) (17,000원), 제주 껍데기 (200g) (10,000원), 한우 암소 육회 소 (100g) (10,000원), 한우 암소 육회 중 (200g) (20,000원), 물냉면 (10,000원), 비빔냉면 (10,000원), 제주 고기만두 (8,000원), 명란젓 (3,000원), 솥밥 (3,000원), 누룽지 (3,000원), 라면 (3,000원)"
유림 닭도리탕,3.3,710,"서울 강서구 공항대로71길 5
(지번) 염창동 280-6",37.5478258698188,126.871722147865,02-3665-3930,"토종 닭도리탕 (2~3인용) (53,000원), 한방오리 (2~3인용) (70,000원), 한방오리한마리반 (4~5인용) (102,000원), 토종닭백숙 (2~3인용) (65,000원), 닭백숙 한마리반 (4~5인용) (95,000원), 닭도리탕 한마리반 (4~5인용) (77,000원), 삼계탕 (17,000원), 찰밥 (3,000원), 볶음밥(닭도리탕용) (2,000원)"
마부자생삼겹살김치찌개,3.1,200,"서울 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 119~124호
(지번) 마곡동 760",37.5673140391214,126.827554917518,02-3665-0788,"생삼겹살 (180g) (15,000원), 목살 (180g) (15,000원), 태백고냉지 묵은지 김치찌개 (점심특선) (9,000원)"
상생삼겹살,4.5,144,"서울 강서구 마곡중앙로 161-8 두산더랜드파크 B동 1층 113,114호
(지번) 마곡동 757",37.568851450649,126.827338682565,02-6989-9191,"삼겹살 (180g) (16,000원), 이베리코흑돼지 늑간살 (150g) (19,000원), 가브리살 (150g) (17,000원), 미나리삼겹살 (180g) (18,000원), 비빔냉면 (6,500원), 물냉면 (6,500원), 계란찜 (5,500원), 해장라면 (5,500원), 김치찌개 (6,000원), 순두부찌개 (6,000원), 돌솥누룽지 (5,500원), 돼지껍데기 (10,000원)"
카페우드진,4.0,212,"서울 강서구 마곡중앙6로 45 리더스퀘어마곡 1층 113호
(지번) 마곡동 772-5",37.5606312206415,126.832720625607,02-6052-0116,"얼그레이 밀크티 (R) (4,500원), 플랫화이트 (3,500원), 카페모카 (R) (4,300원), 오지 카푸치노 (R) (4,000원)"
케렌시아,4.2,102,"서울 강서구 마곡서로 152 두산더랜드타워 B동 2층 219,220호
(지번) 마곡동 759-1",37.5676859104888,126.82597944995,02-6989-9336,"토마호크스테이크 (28,900원), 꽃목살스테이크 (26,900원), 🌟평일점심2000원할인🌟 (변동가격)"
만배아리랑,4.2,14,"서울 강서구 화곡로18길 24 강서뉴타워 1층 111,113호
(지번) 화곡동 1071-19",37.5390663932795,126.835418976281,02-2607-3126,"김치보쌈 (소) (41,000원), 배추보쌈 (소) (42,000원), 반반보쌈 (소) (42,000원), 모듬보쌈스페셜 (중) (55,000원), 왕족발 (중) (43,000원), 김치보쌈 (중) (47,000원), 김치보쌈 (대) (52,000원), 배추보쌈 (중) (48,000원), 배추보쌈 (대) (53,000원), 반반보쌈 (중) (48,000원), 반반보쌈 (대) (53,000원), 왕족발 (대) (48,000원), 모듬보쌈스페셜 (대) (65,000원), 홍어삼합 (대) (65,000원), 해물바지락칼국수 (2인) (20,000원), 해물바지락칼국수 (3인) (30,000원), 굴보쌈 (중) (58,000원), 굴보쌈 (대) (68,000원), 굴보쌈(소) (50,000원), 홍어삼합(중) (55,000원), 해물바지락칼국수(1인) (10,000원), 보쌈정식 (11,000원), 쟁반국수 (8,000원)"
원조나주곰탕,4.5,137,"서울 강서구 양천로14길 10 2동 1층
(지번) 방화동 559-1",37.572683936806,126.810043511076,02-2666-8292,"나주곰탕 (13,000원), 나주곰탕 (특) (16,000원), 수육 (대) (47,000원), 수육 (중) (37,000원), 수육 (소) (27,000원)"
공항칼국수,2.6,526,"서울 강서구 공항대로 18-1
(지번) 공항동 49-2",37.5609595311681,126.809129234237,02-2664-9748,"버섯칼국수 (10,000원), 내장탕 (12,000원), 버섯내장짬뽕 (10,000원), 내장칼국수 (12,000원), 일반칼국수 (9,000원), 수육 (중) (30,000원), 수육 (소) (20,000원), 소내장볶음 (중) (30,000원), 소내장볶음 (소) (20,000원), 우렁초무침 (15,000원), 골뱅이 (15,000원)"
샹리,3.9,25,"서울 강서구 공항대로 164 류마타워 지하1층 B105호
(지번) 마곡동 798-2",37.5593259702511,126.825514827621,02-2664-3700,"등심탕수육 (20,000원), 해파리냉채 (20,000원), 양장피 (27,000원), 짜장면 (7,000원), 류산슬밥 (15,000원), 사천탕수육 (20,000원), 동파육 (30,000원), 난자완스 (23,000원), 깐풍기 (28,000원), 유린기 (30,000원), 라조기 (30,000원), 궁보기정 (28,000원), 소고기탕수육 (35,000원), 고추잡채 (35,000원), 오향장육 (30,000원), 해삼&삼겹살 (42,000원), 오룡해삼 (55,000원), 해삼관자 (49,000원), 깐풍관자 (40,000원), 깐풍새우 (28,000원), 칠리새우 (28,000원), 크림새우 (28,000원), 마파두부 (20,000원), 모듬야채볶음 (23,000원), 어향가지 (25,000원), 전가복 (50,000원), 류산슬 (30,000원), 팔보채 (35,000원), 해물누룽지탕 (38,000원), 해물짬뽕탕 (25,000원)"
