이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
중화요리팔공,4.2,521,"서울 관악구 남부순환로 1680 지하1층
(지번) 신림동 10-621",37.4840824266542,126.937097299683,02-877-9815,"짜장면 (9,000원), 옛날고기짬뽕 (11,000원), 팔공해물짬뽕 (12,000원), 생등심육즙탕수육 (소) (24,000원), 양장피 (45,000원), 깐풍기 (소) (30,000원), 유린기 (소) (30,000원), 칠리중새우 (소) (34,000원), 옛날군만두 (7,000원), 팔공해물우동 (12,000원), 옛날볶음밥 (11,000원), 잡채밥 (11,000원), 유산슬밥 (16,000원), 잡탕밥 (17,000원), 해물쟁반짜장(2인) (22,000원), 생등심탕수육(중) (34,000원), 깐풍기 (중) (40,000원), 유린기 (중) (40,000원), 깐풍중새우 (소) (34,000원), 깐풍중새우 (중) (47,000원)"
쟝블랑제리,3.8,509,"서울 관악구 낙성대역길 8 1층
(지번) 봉천동 1660-7",37.4772000660467,126.961984718921,02-889-5170,"소시지빵 (5,000원)"
오월의김밥,4.5,356,"서울 관악구 봉천로 605 1층 102호
(지번) 봉천동 1657-21",37.4760911961869,126.964603827591,02-876-7792,"밥도둑김밥 (5,700원), 샐러드김밥 (5,700원), 스팸김밥 (4,700원), 야채김밥 (3,700원), 치즈김밥 (4,200원), 매운참치김밥 (5,700원), 참치김밥 (5,200원), 매운오뎅김밥 (4,200원), 주먹밥(게살 or 참치) (3,500원)"
강강술래 신림점,2.9,156,"서울 관악구 남부순환로 1660
(지번) 신림동 10-518",37.4845719988029,126.935033089251,02-886-9233,"갈비탕정식 (17,000원), 전복갈비탕정식 (22,000원), 강강양념정식 (33,000원), 술래양념정식 (36,000원), 왕양념갈비정식 (45,000원), 한우모둠정식 (40,000원), 영양갈비탕 (13,000원), 영양전복갈비탕 (18,000원), 한우육회비빔밥 (12,000원), 육회돌솥비빔밥 (12,000원), 물냉면/비빔냉면 (8,000원), 강강양념구이 (29,900원), 술래양념구이 (33,000원), 왕양념갈비 (42,000원), 영양솥밥 (8,000원), 된장찌개 (4,000원), 강강양념정식(점심정식) (26,000원), 술래양념정식(점심정식) (28,000원), 영양솥밥(식사) (10,000원), 한우 스페셜 (53,000원), 한우 생등심 (45,000원), 한우 모둠구이 (37,000원), 한우육회 (29,000원), 공기밥 (1,000원)"
고기굽는사람들 샤로수길본점,4.4,382,"서울 관악구 관악로14길 70 1층 106호
(지번) 봉천동 1619-1",37.4782407660496,126.956347518093,0507-1357-6884,"480 숙성 깍뚝목살 *한정수량 (13,900원), 340 숙성 갈비본살 *한정수량 (21,000원), 숯불양념구이+고추장불고기[무한리필] (15,900원), 480 숙성 한양삼겹살 (13,900원), 340 숙성 소금양념 돈항정 (15,500원), 340 숙성 와사비 돈항정 (16,500원), 340 숙성 갈릭 돈항정 (16,500원), 340 숙성 한양소갈비살 (16,500원), 340 숙성 소금양념 소갈비살 (17,900원), 340 숙성 와사비 소갈비살 (18,900원), 340 숙성 갈릭 소갈비살 (18,900원), 간장벌집껍데기 (8,500원), 함흥식 물/비빔냉면 (6,500원), 집된장술밥 (7,900원), 한돈묵은지김치찌개 (4,900원), 집된장 차돌된장찌개 (5,900원), 집된장 시골된장찌개 (4,900원), 갈치속젓 돌솥알밥 (5,500원), 중화식 얼큰땡초라면 (6,000원), 활화산 계란찜 (5,500원), 340 숙성 돈항정 (14,500원)"
소담촌 봉천현대시장직영점,4.0,29,"서울 관악구 양녕로 50 금강빌딩 2층
(지번) 봉천동 463-3",37.4864591968344,126.947220766123,02-876-0977,"샤브고기(양지, 목심) (120g) (10,000원), 샤브고기(한우 목심) (120g) (15,000원), 샤브고기(와규) (120g) (13,000원), 우삼겹(120g) (10,000원), 돈삼겹(120g) (12,000원), 와규(구이) (120g) (13,000원)"
정담은보쌈 신림점,3.9,257,"서울 관악구 남부순환로 1661
(지번) 봉천동 959-4",37.4852197511771,126.935393665372,02-888-8401,"보쌈 (33,000원), 오리보쌈 (33,000원), 제주흑돼지보쌈 (46,000원), 문어보쌈 (56,000원), 새싹쟁반국수 (9,000원), 회보쌈 (45,000원), 파전 (18,000원), 짝꿍세트 2人 (40,000원), 친구세트 3人 (52,000원), 가족세트 4人 (75,000원), 정담은세트（모임추천） (106,000원), 회（가오리）추가 (15,000원), 고기 추가 (15,000원), 문어 추가 (30,000원), 공기밥 (1,000원), 콜라 355mL (2,000원), 사이다 355mL (2,000원), 배추김치추가 ／ 최대 2개까지 가능 (5,000원), 무김치추가 ／ 최대 2개까지 가능 (5,000원), 파김치추가 ／ 최대 2개까지 가능 (5,000원), 야채쌈 ／ 최대 2개까지 가능 (3,000원), 느린식혜 500ml (4,000원)"
멕스칸즉석햄버거,3.4,134,"서울 관악구 당곡길 9 1층
(지번) 봉천동 698-28",37.489749846541,126.928822191454,02-884-0280,"떡오뎅볶이 (1인분) (3,500원), 오뎅볶이 (1인분) (3,500원), 떡오뎅+사리 (1인분) (3,500원), 오뎅+사리 (1인분) (3,500원), 떡오뎅쫄면라면+사리 (1인분) (5,000원), 떡오뎅+사리2 (2인분) (6,800원), 떡오뎅+사리3 (2인분) (7,900원), 떡오뎅+사리3 (3인분) (10,200원), 떡오뎅+사리4 (3인분) (11,300원), 떡오뎅+사리4 (4인분) (13,600원), 떡오뎅+사리5 (4인분) (14,700원), 멕스칸버거 (1,500원), 애그버거 (2,000원), 치즈버거 (2,000원), 특버거 (2,500원)"
오삼숙이,4.4,205,"서울 관악구 대학길 57 1층
(지번) 신림동 251-51",37.4681607801568,126.937786857718,02-882-5332,"우숙이 (9,500원), 삼숙이 (9,000원), 우콩이 (9,500원), 삼콩이 (9,000원), 날치알볶음밥 (소) (3,000원), 날치알볶음밥 (중) (5,000원), 음료 (2,000원), 자연산모짜렐라치즈(소) (3,000원), 자연산모짜렐라치즈(중) (4,000원), 해물맛칼국수 (5,000원), 해물맛칼국수 곱빼기 (7,000원)"
논밭골 봉천점,3.6,90,"서울 관악구 청룡길 30 1층
(지번) 봉천동 915-26",37.4804825842774,126.945930883191,02-875-6493,"왕갈비탕 (13,000원)"
