이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
원조할아버지손두부,4.4,814,"서울 광진구 자양로 324 1층
(지번) 구의동 26-15",37.5540759465118,127.094192675873,02-447-6540,"모두부(홀) (7,000원), 순두부(홀) (4,000원), 콩국수(계절메뉴) (7,000원), 서리태콩국수(계절메뉴) (10,000원), 콩물 (5,000원), 서리태콩물 (7,000원)"
송림식당,3.7,372,"서울 광진구 자양번영로 79
(지번) 자양동 227-138",37.5367857595378,127.076517343663,02-457-5473,"돼지불백 (11,000원), 해장국 (9,500원), 김치찌개 (9,500원), 된장찌개 (9,500원)"
영미오리탕 군자점,4.0,538,"서울 광진구 동일로60길 53 천수빌딩 1층
(지번) 군자동 467-16",37.5576742981063,127.076292878482,02-463-5222,"오리탕 (1마리) (61,000원), 오리탕 (반마리) (39,000원), 생로스 (61,000원), 주물럭 (61,000원)"
호야초밥참치 본점,2.8,545,"서울 광진구 능동로13길 39 한아름건물 1층
(지번) 화양동 10-1",37.543959020957,127.069757721395,02-461-3739,"A호야 12pcs (17,000원), （BEST）B특호야12pcs (21,000원), 로얄스시12pcs (36,000원), 참다랑어 (50,000원), 대뱃살 (50,000원), 모둠회（7종） (48,000원), 찐전복 （1pcs） (3,000원), 장어 1pcs (2,800원), 수제계란초밥（다테마끼） (1,600원), 호야 지라시 (12,000원), 회덮밥 (10,000원), 장어덮밥 (17,000원), C연어（양파소스）12pcs (25,000원), 호야 연어 모듬 12pcs (31,000원), 참다랑어 오도로 초밥 12pcs (61,000원), 참다랑어 가마도로&오도로（12pcs） (55,000원), 참다랑어 참치뱃살 12pcs (36,000원), 참다랑어 가마도로 12pcs (51,000원), 연어초밥（8pcs） (18,000원), 소고기 초밥 12pcs (26,000원), 광어 초밥 12pcs (26,000원), 광어6＋연어6 12pcs (29,000원), 소고기6＋연어6 12pcs (27,000원), 참이슬 후레쉬 (4,500원), 처음처럼 (4,500원), 진로 (4,500원), 테라 (4,500원), 카스 (4,500원), 청하 (5,000원), 매화수 (4,000원)"
소담촌 아차산역점,3.4,17,"서울 광진구 용마산로 10 3층
(지번) 중곡동 93-2",37.5545352784401,127.088841013335,02-2201-8800,"월남쌈 샤브 (13,900원), 월남쌈 버섯 샤브 (17,800원), 월남쌈 와규 샤브 (17,800원), 우삼겹 구이&샤브 (15,000원), 돈삼겹 구이&샤브 (15,000원)"
신토불이떡볶이 본점,3.3,"1,037","서울 광진구 자양로43길 42 1층
(지번) 구의동 52-17",37.5525478089539,127.090448142743,,"떡볶이(1인분) (4,000원), 1인 SET (7,000원), 2인 SET (11,500원), 3인 SET (18,000원)"
은혜즉석떡볶이,3.1,398,"서울 광진구 광나루로 381-1 2층
(지번) 군자동 361-25",37.5480981974837,127.072324363402,02-468-7401,"떡2인분세트 1 (14,000원), 딱 2인분세트 2 (14,000원), 딱 3인분세트 1 (17,000원), 딱 3인분세트 2 (17,000원), 딱 3인분세트 3 (18,000원), 딱 4인분세트 1 (20,000원), 딱 4인분세트 2 (21,000원), 딱 5인분세트 1 (24,000원)"
하이디라오코리아 건대점,4.3,540,"서울 광진구 능동로 110 스타시티 영존 A동 1층
(지번) 화양동 4-20",37.540657941434,127.07141185507,02-456-5683,"우삼겹(150g) (14,900원), 양갈비살(200g) (16,900원), 돈삼겹살(150g) (13,900원), 새우완자(100g) (10,900원)"
도톰 본점,4.8,302,"서울 광진구 능동로 386 1층
(지번) 중곡동 31-9",37.5635843621364,127.083261293194,02-444-4231,"도톰삼겹살 (180g) (16,000원), 도톰목살 (180g) (16,000원), 가브리살 (180g) (16,000원), 항정살 (180g) (19,000원), 볶음밥 (3,000원)"
체리커피,3.7,391,"서울 광진구 능동로 284 1층 체리커피
(지번) 능동 282-1",37.5551536063868,127.078720243728,02-444-7222,"아메리카노(HOT) (4,500원), 카페라떼(HOT) (5,000원), 청포도에이드 (5,500원), 유기농말차라떼(HOT) (5,000원), 리얼쇼콜라떼(HOT) (6,000원)"
서북면옥,3.6,493,"서울 광진구 자양로 199-1
(지번) 구의동 80-47",37.5454169735609,127.085329077866,02-457-8319,"물냉면 (10,000원), 비빔냉면 (10,000원), 온면 (10,000원), 만두국 (10,000원)"
뚝방길홍차가게 본점 (휴업중),4.4,558,"서울 광진구 자양강변길 277 1층
(지번) 자양동 589-20",37.5299864307482,127.073853877901,02-512-0189,"Bolero（mariage freres） (7,200원), Royal blend（Fortnum&Mason） (7,800원), Wedding imperial（mariage freres） (7,400원), 다즐링 2nd flush（OKAY다원） (7,800원), Assam（추브와 다원） (7,600원), Lady grey（Twinings） (7,000원), Ice wine tea（Mlezna） (6,800원), French earl grey（T2） (7,000원), 미르코 폴로 (7,200원), Midnight hour（TWG） (7,400원), Night time（pukka） (7,200원), Stress Relief (7,000원), Rouge Opera (7,400원), Americano (5,000원), Café latte (5,500원), Cream tea Set (17,200원), Scon 플래터 (15,400원), 얼그레이 우롱 밀크티 (7,800원), 루이보스디카페인밀크티 (7,900원), 플레인 스콘 (3,600원), 무화과 스콘 (4,000원), 블루베리 스콘 (4,000원), 얼그레이 스콘 (4,500원), 바질 스콘 (4,300원), 말차 화이트 초콜렛 스콘 (4,200원), 앙버터 스콘 (4,200원), 유기농 통밀 무살탕 스콘 (3,800원), 피넛 버터 스콘 (4,000원), 쇼콜라 스콘 (3,800원), 치즈 감자 스콘 (4,200원)"
순금이떡볶이,3.0,119,"서울 광진구 자양로43길 43 1층
(지번) 구의동 53-14",37.552493574782,127.09020487733,02-455-8090,"깻잎떡볶이 (4,000원), 튀김(5개) (4,000원), 찹쌀순대 (5,000원), 라면 (4,000원), 계란2개 (1,500원), 1인세트 (7,500원), 깻잎떡볶이(비조리)1.5인분 (5,500원)"
송화산시도삭면 2호점,4.2,812,"서울 광진구 아차산로30길 33 1층
(지번) 자양동 6-63",37.5392018603192,127.067225432496,02-468-7826,"철판소고기 (20,000원), 수주어팬 (22,000원), 수주육팬 (15,000원), 어향육슬덮밥 (7,000원), 가지덮밥 (7,000원)"
바르미샤브샤브N칼국수,3.7,64,"서울 광진구 아차산로 471
(지번) 구의동 212-3",37.5404187841405,127.093974084703,02-3437-1005,"쇠고기 샤브샤브 (평인) (14,800원), 쇠고기샤브샤브 (주말.공휴일) (18,800원), 한우샤브샤브 (평일) (16,800원), 한우샤브샤브 (주말.공휴일) (17,800원), 어린이 입장료 (미취학아동 4-7세) (5,000원)"
소문난만두,4.3,42,"서울 광진구 자양로13나길 5 1층
(지번) 자양동 617-2",37.5335370951029,127.080605966637,02-444-2334,"도너츠4개 (1,000원)"
우리콩밭손두부,3.8,256,"서울 광진구 영화사로 76 1층
(지번) 구의동 143-2",37.5544087167896,127.094603568633,02-456-1880,"모두부 (6,000원), 순두부 (4,000원), 해물순두부 (7,000원), 해물부추전 (12,000원), 두부부침 (9,000원), 순두부라면 (7,000원), 얼큰김치라면 (6,000원), 두부돼지김치찌개 (20,000원), 두부조림 (14,000원), 두부삼겹두루치기 (25,000원)"
크래버 대게나라 광장점,3.8,158,"서울 광진구 천호대로 611 1층
(지번) 중곡동 131-5",37.5551274621808,127.085728784167,02-456-0277,"대게탕 (25,000원), 게장볶음밥 (12,000원), 회덮밥 (13,000원), 새우튀김(10p) (20,000원)"
화기애애 건대점,4.2,"1,560","서울 광진구 아차산로31길 16 1층
(지번) 화양동 8-37",37.5417668601098,127.06965474677,02-461-7585,"소고기 모듬 (45,000원), 돼지 모듬 (소)(400g) (29,000원), 돼지 모듬 (중)(600g) (44,000원), 돼지 모듬 (대)(900g) (66,000원), 동치미 국수 (4,500원), 비빔 국수 (4,500원), 볶음 김치와 누룽지탕 (6,000원), 글라스 와인 (6,000원), 삼겹살 (120g) (9,500원), 생목등심 (120g) (9,500원), 갈비살 (120g) (12,000원), 양념 갈비살 (120g) (12,000원), 꽃살 (120g) (21,000원), 생항정살 (120g) (12,000원), 묵밥 (5,000원), 안창살(120g) (18,000원), 김치찌개&계란찜(무한리필) (0원)"
함흥본가면옥 건대점,3.4,161,"서울 광진구 광나루로 456 1층
(지번) 화양동 302-25",37.5451753797741,127.079840875606,02-447-8806,"물냉면 (10,000원), 비빔냉면 (10,000원), 회냉면 (11,000원), 갈비탕 (15,000원), 뚝배기불고기 (10,000원), 육개장(계절) (11,000원), 만두국(계절) (11,000원), 손만두 (8,000원), 석쇠불고기 (15,000원)"
