이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
신림춘천집 구로디지털직영점,4.6,749,"서울 구로구 디지털로32나길 17-23 우남산업 102호
(지번) 구로동 1124-69",37.4840587045063,126.899846627555,070-8624-1998,"들기름마국수 (8,000원), 제육사리 (6,000원), 쫄면모듬사리 (5,000원), 우동모듬사리 (5,000원), 당면모듬사리 (5,000원), 라면모듬사리 (5,000원), 모듬떡사리 (2,500원), 치즈폭포닭갈비 (16,000원), 춘천집닭갈비 (14,000원), 제육닭갈비 (14,000원), 물막국수 (8,000원), 비빔막국수 (8,000원), 춘천집감자채전 (8,500원), 참기름볶음밥 (3,000원), 들기름볶음밥 (3,000원), 치즈볶음밥 (3,500원), 공기밥 (1,500원), 치즈사리 (4,000원), 떡사리 (2,000원), 고구마사리 (2,000원)"
봉고기 신도림본점,4.1,"1,543","서울 구로구 경인로 619-3 상가 1층 112~113호
(지번) 신도림동 435-10",,,0507-1360-8426,"1등 무항생제 친환경 목살 (15,900원), 동물복지 삼겹살 (16,900원), 양념갈비 (16,900원), 등심덧살 (19,900원), 1등급 한우 차돌박이 (35,000원), 프리미엄 듀록 흑돼지 오겹살 (16,900원)"
진심갈비,4.6,95,"서울 구로구 경서로 11 1층 104, 105, 107호
(지번) 개봉동 153-123",37.4985617567135,126.856502579275,02-2689-9992,"수제돼지갈비 (270g) (16,000원), 소갈비살 (150g) (19,000원), 이베리코꽃목살 (150g) (18,000원), 한돈삼겹살 (180g) (16,000원), 한우육회 (200g) (25,000원)"
평양냉면,3.8,162,"서울 구로구 고척로10길 65 1층
(지번) 오류동 13-55",37.4964262899252,126.842166579978,02-2614-2263,"평양냉면 (10,000원), 비빔냉면 (10,000원), 편육 (18,000원), 녹두빈대떡 (9,000원)"
월래순교자관,4.1,432,"서울 구로구 디지털로19길 12 1층
(지번) 가리봉동 131-22",37.4803128977754,126.890067650003,02-855-8488,"군만두 (7,000원), 찐만두 (7,000원), 군소룡포 (8,000원), 소룡포 (7,000원), 물만두 (7,000원), 향라새우 (25,000원), 양고기샤브 (30,000원), 백김치삼겹전골 (28,000원), 감자당콩조림 (16,000원), 소배필전골 (30,000원), 감자소고기조림 (24,000원), 두부튀김 (15,000원)"
메이비,3.0,70,"서울 구로구 디지털로32나길 51
(지번) 구로동 1124-49",37.484901329527,126.900382117847,02-859-3073,"데일리 브런치 (16,500원), 프렌치 토스트 (14,000원), 버터 밀크 팬케익 (14,000원), 크로크마담 (15,500원), 에그베네딕트 (15,500원), 빅브런치 (22,000원), BLT 샌드위치 (12,500원), 연탄불고기 치즈 샌드위치 (14,500원), 치폴레 치킨 샌드위치 (15,500원), 컬러풀 토마토 리코타 샐러드 (14,500원), 아보카도 쉬림프 샐러드 (15,500원), 버섯 스테이크 샐러드 (19,000원), 함박 스테이크 (17,000원), 크림함박 스테이크 (17,000원), 치킨 깔조네 & 파스타 (21,000원), 스테이크 브런치 (29,000원), 폭립 플래터 (34,500원), 오늘의 스프 (양송이) (8,000원), 알리오 올리오 파스타 (12,000원), 감베로니 로제 파스타 (16,000원), 트러플 베이컨 크림 파스타 (17,500원), 화이트 라구 (15,500원), 레드 라구 (볼로네제) (14,500원), 페페로니 포테이토 피자 (21,000원), 트리플 치즈피자 (24,000원), 시금치 랜치 피자 (24,000원)"
컴포 신도림점,4.6,191,"서울 구로구 경인로67길 57 상림빌딩 1층 102호
(지번) 신도림동 328-4",37.5118437474354,126.887720137562,02-2637-3841,"월남쌈(무한리필) (24,000원)"
최우영스시,3.2,336,"서울 구로구 디지털로 288 대륭포스트타운 지하 1층
(지번) 구로동 212-8",37.4835695693308,126.895502765348,,"참치사시미(소) (20,000원), 참치사시미(대) (40,000원), 모듬사시미 (16,000원), 연어사시미 (16,000원), 광어사시미 (16,000원)"
고바우,4.3,144,"서울 구로구 부일로1길 9
(지번) 온수동 57-14",37.491778764252,126.821260828437,02-2611-5586,"덩어리생고기 (1인분) (12,000원), 돼지갈비 (2인분) (26,000원), 돼지껍데기 (1인분) (7,000원)"
백년불고기 구로디지털점,4.5,75,"서울 구로구 시흥대로163길 15 1층
(지번) 구로동 1130-1",37.4815104928096,126.899129034352,02-865-5024,"산더미 소물갈비 (40,000원), 옛날 소불고기 (36,000원), 돼지물갈비 (40,000원), 뼈없는 산더미 (28,000원), 오징어튀김 (13,000원), 새우튀김 (13,000원), 소 샤브고기 (13,000원), 소 목갈비뼈 (13,000원), 소 갈비뼈 (13,000원), 돼지 갈비뼈 (11,000원), 계란찜 (4,000원), 공기밥 (1,000원), 코카콜라 355mL (2,000원), 스프라이트 355mL (2,000원), 환타 오렌지 355mL (2,000원), 환타 포도 355mL (2,000원), 환타 파인 355mL (2,000원)"
