이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
진영면옥,4.6,631,"서울 금천구 가산로 22-5 1층
(지번) 독산동 162-10",37.4715699238483,126.90039992595,02-864-2383,"물냉면 (11,000원), 비빔냉면 (11,000원), 양지곰탕 (11,000원), 녹차돼지수육 반접시(100g) (8,000원), 녹차돼지수육 한접시(200g) (15,000원), 양지수육 (20,000원), 녹두전 (8,000원)"
도원,3.5,154,"서울 금천구 범안로 1130 디지털엠파이어빌딩 1층 101호
(지번) 가산동 685",37.4655215598001,126.887672228018,02-861-6616,"도원 중식뷔페 도시락 ＋ 음료set (18,500원), 찹쌀탕수육 (22,000원), 백짬뽕 (11,000원), 삼선짬뽕 (11,000원), 삼선간짜장 (10,000원), 도원 중식뷔페 도시락 (17,000원), 모듬 안주 도시락 (23,000원), 짜장면 (7,000원), 차돌짬뽕 (12,000원), 게살볶음밥 (12,000원), 짬뽕밥 (8,500원), 팔보채 (30,000원), A코스 (40,000원), 짬뽕 (8,000원), 고추짬뽕 (11,000원), 볶음짬뽕 (10,000원), 홍합짬뽕 (10,000원), 삼선우동 (11,000원), 쟁반짜장 (9,000원), 삼선울면 (11,000원), 볶음밥 (9,000원), 새우볶음밥 (10,000원), 잡채밥 (10,000원), 짜장밥 (8,500원), 고추잡채밥 (11,000원), 마파두부덮밥 (10,000원), 특밥 (10,000원), 오징어덮밥 (10,000원), 새송이덮밥 (9,000원), 잡탕밥 (15,000원)"
돼지분식,4.5,60,"서울 금천구 가산로9길 20 1층
(지번) 가산동 143-17",37.4768536292787,126.890720859849,,"떡라면 (4,500원), 만두 (3,500원), 만두국 (5,500원), 떡국 (5,500원), 떡만두 (5,500원), 칼국수 (5,500원), 수제비 (5,500원), 비빔국수 (5,500원), 쫄면 (5,500원)"
강강술래 시흥점,3.5,202,"서울 금천구 시흥대로 193 금천ICT타워 2층
(지번) 시흥동 991",37.4509932654577,126.901277884409,02-808-1888,"한우명품 (57,000원), 한우 생등심 (49,000원), 한우 모듬구이 (39,000원), 한우육회 (29,000원), 강강양념구이 (33,000원)"
파티엘하우스,3.0,72,"서울 금천구 디지털로 173 엘리시아빌딩 3층
(지번) 가산동 60-69",37.4779696398014,126.886068548417,02-865-1141,메뉴 없음
동흥관,2.8,214,"서울 금천구 시흥대로63길 20 B동 지하1층, 1,2층
(지번) 시흥동 115-10",37.4552239556402,126.898598446467,02-803-3759,"차돌짬뽕 (12,000원), 활조개짬뽕 (13,000원), 차돌마라탕면 (12,000원), 소고기탕면 (12,000원), 반접시탕수육＋차돌짬뽕 (22,000원), 세트（반접시 탕수육＋짜장） (17,000원), 세트（반접시 탕수육＋간짜장） (18,000원), 세트（탕수육＋맛짜장2） (24,000원), 짜장면 (8,000원), 간짜장 (9,000원), 삼선짬뽕 (12,000원), 볶음밥 (9,000원), 즉석 탕수육 (22,000원), 반접시탕수육＋2인분쟁반짜장 (30,000원), 세트 （반접시사천탕수육＋차돌짬뽕） (23,000원), 세트 （반접시깐풍기＋차돌짬뽕） (23,000원), 세트（반접시군만두＋짜장） (12,000원), 세트（반접시군만두＋짬뽕） (13,000원), 세트（반접시군만두＋볶음밥） (13,000원), 세트（반접시 탕수육＋짬뽕） (18,000원), 세트（반접시 탕수육＋볶음밥） (18,000원), 세트（깐풍기＋맛짜장2） (35,000원), 세트 （유린기＋맛짜장2） (35,000원), 세트（양장피＋맛짜장2） (40,000원), 세트（쟁반짜장2人＋탕수육） (38,000원), 세트（칠리새우＋맛짜장2） (50,000원), 세트（팔보채＋맛짜장2） (48,000원), 3人세트（양장피＋탕수육＋맛짜장3） (58,000원), 3人세트（유산슬＋사천탕수육＋맛짜장3） (68,000원), 3人세트（양장피＋칠리새우＋맛짜장3） (78,000원)"
왕래성,4.2,29,"서울 금천구 가산로 8 1층
(지번) 독산동 163-2",37.471083905255,126.902217446127,02-6404-5557,"짜장면 (2,000원), 짬뽕 (4,000원), 우동 (3,500원), 볶음밥 (4,000원), 짬뽕밥 (4,000원), 잡채밥 (4,500원), 오징어덮밥 (6,000원), 제육덮밥 (6,000원), 마파두부밥 (5,000원), 해물덮밥 (10,000원), 해물짬뽕 (8,000원), 간짜장 (5,000원), 쟁반짜장 (4,500원), 사천탕면 (4,500원), 탕수육 (8,000원), 잡채 (12,000원), 깐풍기 (18,000원), 양장피 (18,000원), 군만두 (4,000원)"
북촌삼대갈비 가산본점,4.2,564,"서울 금천구 가산로 149 1층
(지번) 가산동 140-8",37.4785253965237,126.890369530966,02-830-0003,"무한리필 숙성통뼈삼겹+목살+양념갈비 (17,500원), 무한리필 숙성생등심 (29,900원), 무한통뼈삼겹+목살+양념갈비 7세이하 (8,000원), 무한리필 숙성생등심 7세이하 (11,000원), 단품 숙성양념갈비 200g (13,000원), 단품 숙성목살 200g (13,000원), 단품 숙성통뼈삼겹살 200g (13,000원), 단품 숙성생등심 200g (18,000원), 부추수육 점심 (10,000원), 불고기정식 점심 (10,000원), 제육볶음 점심 (10,000원), 육개장 점심 (9,000원), 갈비탕 점심 (13,000원)"
전주식당,4.3,45,"서울 금천구 독산로109길 27 1층
(지번) 독산동 958-51",37.4787933598376,126.902394059645,02-831-7935,"홍어보쌈(중) (50,000원), 홍어보쌈(대) (55,000원), 홍어보쌈(특) (60,000원), 굴보쌈(중) (50,000원), 굴보쌈(대) (55,000원), 굴보쌈(특) (60,000원), 문어보쌈(중) (50,000원), 문어보쌈(대) (55,000원), 문어보쌈(특) (60,000원), 전주보쌈(중) (50,000원), 전주보쌈(대) (55,000원), 전주보쌈(특) (60,000원), 갈치(구이/조림) 정식 (12,000원), 돌게장 정식 (12,000원), 조기(구이/매운탕) 정식 (12,000원), 닭도리탕(중) (30,000원), 닭도리탕(대) (35,000원), 홍어무침 (30,000원), 굴무침 (30,000원), 꼬막 (15,000원)"
개성손만두요리전문점 가산디지털점,4.5,228,"서울 금천구 가산로9길 22
(지번) 가산동 143-18",37.4768416493189,126.89052992797,02-851-8886,"만두전골 (12,000원), 손만두 (11,000원), 만두전골(포장) (11,000원), 손만두(포장) (10,000원)"
인생파곱창,3.7,409,"서울 금천구 시흥대로52길 42 1층
(지번) 시흥동 888-5",37.4532228279149,126.902151304348,02-895-7778,"수제숙성 청정진도대파 모듬한우곱창 (57,900원), 수제숙성 청정진도대파 한우곱창 (27,900원), 수제숙성 청정진도대파 한우대창 (24,900원), 호암산 볶음밥 한판 (5,900원), 치즈 달걀찜 (4,900원)"
인크커피 가산점,4.0,"1,398","서울 금천구 가산디지털2로 127-20
(지번) 가산동 544-6",37.4793393924179,126.878073125818,02-854-7200,"자카파 밀크 (8,000원), 럼배럴 아메리카노 (6,500원), 과태말라 럼배럴 (8,000원), 브라질 파젠다 Um 카투카이 내츄럴 (7,500원), 에티오피아 예가체프 아라모 내츄럴 G1 (6,500원), 럼배럴 카페라떼 (6,800원), 럼배럴 크림커피 (6,800원), 인크 슈페너 (7,500원), 인크 아포가토 (8,000원), 아메리카노 (4,600원), 플랫화이트 (5,000원), 카페 라떼 (5,200원), 오틀리 라떼 (6,000원), 연유 라떼 (6,500원), 쿠키앤크림 블렌디드 (7,200원), 자몽 에이드 (7,000원), 시트러스 주스 (7,500원), 초코 라떼 (6,500원), 세러니티 (5,500원), 크림슨 펀치 (5,500원)"
종로계림 닭도리탕원조 가산디지털단지점,4.2,122,"서울 금천구 가산디지털1로 142 가산 더스카이밸리 1차 2층 228,229호
(지번) 가산동 371-57",37.4784047058322,126.883358589722,02-2067-0093,"마늘 닭도리탕 (대) (51,000원), 마늘 닭도리탕 (중) (39,000원), 마늘 닭도리탕 (소) (27,000원)"
가산물갈비&즉석소불고기,,682,"서울 금천구 가산디지털1로 128 STXV타워 1층 110호
(지번) 가산동 371-37",37.4772365189989,126.883695161966,010-9581-8981,"전체메뉴 (38,000원), 세트메뉴 (95,000원)"
태영생막창 독산점,4.5,53,"서울 금천구 벚꽃로6길 3 금천이랜드해가든아파트 상가 1층
(지번) 독산동 1143",37.460610009066,126.892463579375,02-806-3737,"돼지 생막창 (180g) (14,000원), 소생막창 (180g) (19,000원), 생삼겹 (180g) (14,000원), 항정살 (180g) (17,000원), 생목살 (180g) (14,000원), 가브리살 (180g) (15,000원), 벌집껍데기 (250g) (10,000원), 꼬들살 (200g) (14,000원), 차돌박이 (180g) (14,000원), 생고기 김치찌개 (15,000원), 물냉면 (6,000원), 비빔냉면 (6,000원), 해물라면 (6,000원), 냄비라면 (3,000원)"
순댕이네얼큰수제비,2.6,177,"서울 금천구 시흥대로136길 1 1층
(지번) 독산동 160-17",37.4723439731414,126.899326752618,02-852-3670,"바지락칼국수 (8,000원), 바지락칼제비 (8,000원), 얼큰칼국수 (8,000원), 얼큰칼제비 (8,000원), 콩국수 (8,000원), 곱배기 (1,000원)"
초가집부뚜막청국장 독산점,4.6,60,"서울 금천구 독산로 242 1층
(지번) 독산동 1020-7",37.4683739183836,126.902413825554,02-839-7828,"부뚜막정식 (2인이상) (15,000원), 청국장 (11,000원), 우렁된장 (10,000원), 직접만든 도토리묵 (12,000원), 해물파전 (15,000원), 순두부 (10,000원), 보쌈정식(2인이상) (15,000원), 손두부김치 (18,000원), 비지찌개 (10,000원), 묵은지찜 (38,000원), 우렁회무침 (20,000원), 부뚜막 삼합스페셜 (45,000원), 보쌈 (소) (25,000원), 보쌈 (대) (35,000원), 콩국수 (10,000원)"
스시쥬베이,4.5,88,"서울 금천구 가산로 147
(지번) 가산동 140-9",37.4783754559067,126.890452959941,02-851-2477,"참치사시미 (50,000원), 생연어회 (28,000원), 메로소금구이 (20,000원), 도미머리구이 (25,000원), 연어머리구이 (22,000원)"
마벨리에 시흥점,3.7,182,"서울 금천구 시흥대로 201 홈플러스 7층
(지번) 시흥동 992-47",37.4519790161758,126.90079038873,1899-9991,"생연어 덮밥 (13,500원), 간장새우덮밥 (11,900원), 치킨마요덮밥 (11,900원), 제육&쌈밥 도시락 (12,500원), 스테이크 도시락 (17,900원), 일품스시 도시락 (11,900원), 프리미엄 도시락 (30,900원), 평일런치 (37,900원), 평일디너 (49,900원), 주말 (54,900원)"
문정곱창,4.3,"2,353","서울 금천구 디지털로12길 37 1층
(지번) 가산동 143-20",37.477245116591,126.890330588284,02-6014-7290,"모듬곱창(1인분) (24,000원), 순곱창(1인분) (26,000원), 마늘곱창(1인분) (28,000원), 대창(1인분) (24,000원), 막창(1인분) (24,000원), 소갈비살(1인분) (20,000원), 곱창전골 (중) (45,000원), 염통(1인분) (17,000원)"
스타벅스 금천독산점,4.8,28,"서울 금천구 두산로 70 남서울현대지식산업센터 T로비층 108호
(지번) 독산동 291-1",37.4689627800606,126.895620657193,1522-3232,"아이스 슈크림 라떼 (6,500원), 슈크림 라떼 (6,500원), 스타벅스 딸기 라떼 (6,500원), 슈크림 쿠키 망고 라떼 (6,500원), 오늘의 커피 (4,500원), 카푸치노 (5,200원), 카페 라떼 (5,200원), 카페 모카 (5,700원), 카페 아메리카노 (4,700원), 카라멜 마키아또 (6,100원), 화이트 초콜릿 모카 (6,100원), 스타벅스 돌체 라떼 (6,100원), 자바 칩 프라푸치노 (6,500원), 망고 바나나 블렌디드 (6,600원), 아이스 자몽 허니 블랙 티 (5,900원), 자몽 허니 블랙 티 (5,900원), 콜드 브루 (5,100원), 디카페인 카페 아메리카노 (5,000원), 디카페인 카페 라떼 (5,500원), 제주 말차 라떼 (6,100원), 돌체 콜드 브루 (6,000원)"
다도해수산,4.8,76,"서울 금천구 남부순환로108길 27 1층
(지번) 가산동 145-15",37.4776091156991,126.891984062975,02-2688-5188,"우럭（기본 쌈장 야채 초장 와사비간장） (55,000원), 연어（기본 쌈장 야채 초장 와사비간장） (43,000원), 광어＋연어 （기본 쌈장 야채 초장 와사비간장 (38,000원), 신안왕새우 천일염구이 (32,000원), 신안왕새우 간장새우1kg (30,000원), 광어＋우럭 （기본 쌈장 야채 초장 와사비간장 (38,000원), 물회정식 (30,000원), 물회 (45,000원), 광어＋우럭（스끼다시 포함） (48,000원), 산낙지 (15,000원), 신안왕새우 천일염찜 (32,000원), 신안왕새우 버터직화구이 (34,000원), 조미새우（삶은새우） (32,000원), 신안왕새우 1kg（25~30마리） (30,000원), 신안왕새우 2kg (59,000원), 광어（기본 쌈장 야채 초장 와사비간장） (38,000원), 숭어（기본 쌈장 야채 초장 와사비간장） (35,000원), 모듬회（기본 쌈장 야채 초장 와사비간장） (35,000원), 광우연 （기본 쌈장 야채 초장 와사비간장） (38,000원), 우럭＋연어 （기본 쌈장 야채 초장 와사비간장 (40,000원), 참이슬 후레쉬 (5,000원), 참이슬 오리지널 (5,000원), 처음처럼 (5,000원), 새로 (5,000원), 진로이즈백 (5,000원), 테라 (5,000원), 카스 (5,000원), 켈리 (5,000원), 복분자 (12,000원), 청하 (6,000원)"
스타벅스 독산사거리점,3.6,21,"서울 금천구 시흥대로 426
(지번) 독산동 159-23",37.4715689911066,126.89877216735,1522-3232,"아이스 슈크림 라떼 (6,500원), 슈크림 라떼 (6,500원), 스타벅스 딸기 라떼 (6,500원), 슈크림 쿠키 망고 라떼 (6,500원), 오늘의 커피 (4,500원), 카푸치노 (5,200원), 카페 라떼 (5,200원), 카페 모카 (5,700원), 카페 아메리카노 (4,700원), 카라멜 마키아또 (6,100원), 화이트 초콜릿 모카 (6,100원), 스타벅스 돌체 라떼 (6,100원), 자바 칩 프라푸치노 (6,500원), 망고 바나나 블렌디드 (6,600원), 아이스 자몽 허니 블랙 티 (5,900원), 자몽 허니 블랙 티 (5,900원), 콜드 브루 (5,100원), 디카페인 카페 아메리카노 (5,000원), 디카페인 카페 라떼 (5,500원), 제주 말차 라떼 (6,100원), 돌체 콜드 브루 (6,000원)"
김사부샤브샤브,4.1,320,"서울 금천구 가산로 132 1층
(지번) 가산동 145-24",37.4772648934552,126.892042442728,010-5811-0412,"무한리필샤브(대인) (25,000원), 무한리필샤브(어린이) (7,000원), 홍소명태 (15,000원), 홍소가자미 (15,000원), 갈치튀김 (15,000원)"
믹스토랑 금천직영점,4.1,70,"서울 금천구 시흥대로79길 15 1층 106~108호
(지번) 시흥동 113-14",37.4588902854241,126.897681476166,02-808-0320,"스테이크 (0원), 치킨스테이크 (가격정보 없음), 안심스테이크 (가격정보 없음), 부채살스테이크 (가격정보 없음), 목살스테이크 (가격정보 없음), 파스타 (0원), 감바스오일파스타 (가격정보 없음), 상하이파스타 (가격정보 없음), 로제파스타 (가격정보 없음), 투움바파스타 (가격정보 없음), 트러플크림파스타 (가격정보 없음), 로제빠네파스타 (가격정보 없음), 케이준치킨샐러드 (가격정보 없음), 하우스샐러드 (가격정보 없음), 피자 (가격정보 없음), 김치필라프 (가격정보 없음), 새우필라프 (가격정보 없음), 불고기필라프 (가격정보 없음), 목살필라프 (가격정보 없음), 필라프 (가격정보 없음), 프렌치프라이 (가격정보 없음), 치즈프렌치프라이 (가격정보 없음), 목살 (가격정보 없음), 에이드 (가격정보 없음), 바게트 (가격정보 없음), 갈릭바게트 (가격정보 없음), 새우 (가격정보 없음), 스프라이트 (가격정보 없음)"
온초점,4.3,154,"서울 금천구 남부순환로124길 17 로하스타워 1층 101호
(지번) 독산동 959",37.478816831984,126.902996852496,010-8576-3111,"아메리카노 (3,500원), 카페라떼 (4,200원)"
