이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
방학사거리짬뽕집 본점,2.9,29,"서울 도봉구 도당로27길 22 1층
(지번) 방학동 649-41",37.6683205329158,127.041038428269,02-955-6558,"산더미짬뽕 (25,000원), 오징어짬뽕 (14,000원), 차돌짬뽕 (10,000원), 해물짬뽕-1단계 (8,000원), 얼큰짬뽕-2단계 (9,000원), 매운짬뽕-3단계 (9,000원), 우동짬뽕 (8,000원), 하얀짬뽕-얼큰한맛 (9,000원), 옛날짜장면-달달한짜장 (5,000원), 짬뽕밥 (8,000원), 볶음밥 (7,000원), 주먹밥 (3,000원), 공기밥 (1,000원), 매운맛 추가 (1,000원), 곱빼기, 면사리추가 (1,000원), 탕수육-소 (12,000원), 탕수육-대 (24,000원), 군만두 (5,000원)"
호호분식,4.2,107,"서울 도봉구 도봉로121길 32 1층
(지번) 쌍문동 81-74",37.6524428291509,127.034799107226,02-900-1377,"모듬강정 (3,000원), 치즈밥(소) (4,000원), 카레떡볶이 (3,000원), 떡볶이 (3,000원), 치즈떡볶이 (3,000원), 짜장떡볶이 (3,000원), 탕수육(소) (4,000원), 우동 (4,000원), 라면 (4,000원), 쫄면 (4,000원), 탕수만두 (2,000원)"
할머니토스트,4.3,49,"서울 도봉구 덕릉로60다길 15 1층
(지번) 창동 562-15",37.6381550558192,127.039836159978,010-9512-8809,"할머니토스트 (3,000원), 햄토스트 (3,500원), 치즈토스트 (3,500원), 햄+치즈토스트 (4,000원), 아메리카노(HOT) (1,500원)"
요리왕,4.0,41,"서울 도봉구 덕릉로59마길 18
(지번) 창동 582-65",37.6404316488027,127.037120503417,02-906-6304,"짜장면 (8,000원), 짬뽕 (9,000원), 간짜장 (9,000원), 삼선짬뽕 (14,000원), 볶음밥 (10,000원), 탕짜면 (13,000원), 탕짬면 (14,000원), 탕볶밥 (15,000원), 세트0（탕수육＋짜장면1＋만두4） (23,000원), 세트1（탕수육＋짜장면2＋만두4） (25,000원), 짬뽕국물（곱배기공기） (1,000원), 우동 (9,000원), 울면 (9,000원), 삼선짜장 (13,000원), 삼선우동 (14,000원), 쟁반짜장 (11,000원), 얼큰쟁반짜장 (12,000원), 처음처럼 (4,000원), 참이슬 후레쉬 (4,000원), 진로이즈백 (4,000원), 참이슬 오리지널 (4,000원), 새로 (4,000원), 카스 (5,000원), 테라 (5,000원), 칭따오 (7,000원), 고량주 (6,000원), 이과두주 (5,000원), 연태고량주（소） (14,000원), 연태고량주（중） (25,000원), 연태고량주（대） (35,000원)"
대문,3.5,43,"서울 도봉구 시루봉로 139-6 1층
(지번) 방학동 436-9",37.6637007124723,127.027547248279,02-956-0843,"간장게장(1미) (20,000원), 보리굴비(1미) (18,000원), 낙지볶음 (25,000원), 소갈비찜 (29,000원), 한우육회(200g) (30,000원), 난정식(1인) (30,000원), 수라정식(1인) (56,000원), 효정식(1인) (49,000원), 대문 특정식(1인) (39,000원), 대문정식(점심특선)(1인) (23,000원), 간장게장 정식(1인) (29,000원), 보리굴비정식(1인) (27,000원), 전복갈비찜정식(1인) (32,000원), 양념게장(250g) (12,000원), 생전복회(4미) (25,000원), 생전복버터구이(4미) (25,000원), 훈제연어(8pcs) (10,000원), 칠리새우(8마리) (20,000원), 소떡갈비 (15,000원), 보쌈 (23,000원)"
삿뽀로 창동점,3.0,72,"서울 도봉구 도봉로 610 2층
(지번) 창동 750",37.6589162993966,127.041221492754,02-991-6777,"런치 스페셜 A (47,000원), 런치 스페셜 B (42,000원), 런치 스페셜 C (37,000원), [디너] 모듬사시미 정식 (62,000원)"
무수옥,3.5,149,"서울 도봉구 도봉로165길 15
(지번) 도봉동 600-4",37.6771588328553,127.044143069676,02-954-6292,"한우암소설렁탕 (12,000원), 한우암소육회비빔밥 (12,000원), 한우암소내장탕 (12,000원), 한우암소생등심 (48,000원), 한우암소육회 (30,000원), 한우암소수육 (30,000원)"
겨리,4.0,81,"서울 도봉구 도봉로112길 29 1층
(지번) 창동 657-83",37.6469551099077,127.03632965886,02-900-3200,"카이센동 (28,000원), 사케동 (17,000원), 마구로사케동 (20,000원), 우나기동 (23,000원), 타다키사케동 (18,000원), 타다키동 (22,000원), 카이센 도시락 (16,000원), 가이바시사케동 (20,000원), 가이바시 마구로동 (21,000원), 시로미 사케동 (19,000원), 카키후라이 (4,500원), 에비 후라이（2p） (4,500원), 생선까스（1p） (3,500원), 야채고로케（2p） (3,500원), 치킨 가라아게（5p） (5,500원), 사이다 250mL (2,000원), 콜라 250mL (2,000원), 토닉워터（캔）250mL (2,000원)"
삼오집,3.4,99,"서울 도봉구 도봉로165길 4
(지번) 도봉동 596-23",37.6776992461076,127.044605780377,02-954-1916,"곱창전골 (소) (30,000원), 소고기버섯전골 (소) (30,000원), 곱창구이 (1인분) (18,000원), 모듬구이(1인분) (18,000원), 막창 (1인분) (18,000원), 대창 (1인분) (18,000원), 염통(1인분) (15,000원), 간천엽(1인분) (10,000원), 육회(1인분) (23,000원), 삼겹(1인분) (17,000원), 순두부 (10,000원)"
가든포차,4.3,75,"서울 도봉구 방학로 266-26
(지번) 방학동 산 63-1",37.6624058877872,127.023040435435,,"포차 누룽지백숙 (22,000원), 포차 백숙 (20,000원), 국물닭도리탕 (20,000원), 새우완탕 (16,000원), 김치찌개 (16,000원), 수제어묵탕 (14,000원), 국물떡볶이 (14,000원), 번데기탕 (9,000원), 알탕 (17,000원), 무뼈국물닭발 (18,000원), 무뼈닭발 (17,000원), 훈제삼겹살 (17,000원), 통오징어볶음 (17,000원), 소세지볶음 (15,000원), 통집 (15,000원), 오돌뼈 (15,000원), 고갈비 (11,000원), 먹태 (16,000원), 노가리 (12,000원), 은행구이 (12,000원), 감바스 (17,000원), 순살치킨 (17,000원), 똥집튀김 (15,000원), 철판떡갈비 (14,000원), 돈가스 (13,000원), 콘치즈 (12,000원), 소떡소떡 (11,000원), 감자튀김 (11,000원), 나초 (8,000원), 골뱅이무침 (18,000원), 오징어숙회 (14,000원), 두부김치 (14,000원), 스팸계란말이 (10,000원), 황도 (10,000원), 메밀전병 (10,000원), 감자전 (8,000원), 김치우동 (6,000원), 우동 (5,000원), 해물라면 (5,000원)"
