이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
서울뼈구이매운족발,3.5,686,"서울 동대문구 왕산로 274-1
(지번) 전농동 602-9",37.5850343644152,127.051280001821,02-965-5838,"뼈구이 (1인분) (13,000원), 뼈구의~리 (1인분) (14,000원), 미니족발 (20,000원), 양푼주먹밥 (3,000원), 날치알주먹밥 (4,000원)"
어머니대성집,3.4,666,"서울 동대문구 왕산로11길 4 1층
(지번) 용두동 232-26",37.5774742408426,127.028564198078,02-923-1718,"해장국 (14,000원), 육회비빔밥 (17,000원), 육회 (35,000원), 소고기수육 (40,000원), 모듬수육 (40,000원)"
육전식당 3호점,3.9,111,"서울 동대문구 천호대로 38 1층
(지번) 신설동 93-3",37.5736874321418,127.027505001963,02-2234-6373,"제육백반 (10,000원), 육전 떡갈비 정식 (11,000원), 육전 국밥 (10,000원), 뚝배기불고기 (9,000원), 김치/된장찌개 (8,000원), 통목살 (17,000원), 통삼겹살 (17,000원), 항정살 (18,000원), 제주오겹살 (20,000원), 양념껍데기 (14,000원), 들기름막국수 (9,000원), 비빔막국수 (9,000원), 물막국수 (9,000원)"
한상차림밥상,3.3,184,"서울 동대문구 한빛로 28 1층
(지번) 신설동 21",37.5778669590177,127.025941448638,010-9073-4141,"보쌈정식 (11,000원), 갈비찜정식 (13,000원), 돌솥보쌈정식 (13,000원), 돌솥갈비정식 (15,000원), 보쌈 (18,000원), 갈비 (20,000원)"
혜성칼국수,3.6,424,"서울 동대문구 왕산로 247-1 1층
(지번) 청량리동 50-18",37.5834249035109,127.04898605372,02-967-6918,"멸치칼국수 (10,000원), 닭칼국수 (10,000원)"
나정순할매쭈꾸미,3.6,"1,112","서울 동대문구 무학로 144 1층
(지번) 용두동 119-20",37.5770746545606,127.030699225303,02-928-0231,"쭈꾸미(1인분) (15,000원)"
광주식당,3.3,65,"서울 동대문구 경동시장로2길 49-4
(지번) 청량리동 773",37.580555841678,127.043784150437,02-969-4403,"청국장 (9,000원), 된장찌개 (9,000원), 김치찌개 (10,000원), 순두부 (9,000원), 동태찌개 (10,000원), 조기찌개 (10,000원), 갈치조림 (2인분) (22,000원), 제육볶음 (1인분) (16,000원), 오징어볶음 (1인분) (16,000원)"
마루한,4.3,460,"서울 동대문구 서울시립대로27길 3
(지번) 전농동 127-123",37.582828330243,127.052806774985,02-6406-1126,"양념돼지갈비 (16,000원), 육회 한접시 (10,000원), 생통목살 (16,000원), 생삼겹살 (16,000원), 생연어비빔밥 (9,000원), 고기양50g 육회비빔밥(기본) (8,000원), 고기양 100g 육회비빔밥(특) (9,000원), 맑은/ 사골 소곰탕 (10,000원), 두부김치찌개 (8,000원), 순두부김치찌개 (8,000원), 해물순두부된장찌개 (8,000원), 왕소갈비탕 (14,000원), 한우 차돌박이 (25,000원), 갈매기살 (16,000원), 대패삼겹 (16,000원), 가브리살 (16,000원)"
은하곱창,3.7,469,"서울 동대문구 전농로15길 22 1층
(지번) 전농동 295-48",37.5780403599325,127.056314751482,02-2247-0254,"돼지곱창전골 (소) (30,000원), 돼지곱창전골 (중) (35,000원), 돼지곱창전골 (대) (40,000원), 오징어볶음(2인) (30,000원), 잔치국수 (5,000원), 비빔국수 (5,000원), 모밀국수 (5,000원), 열무국수 (5,000원)"
안동집,3.4,189,"서울 동대문구 고산자로36길 3 경동시장 신관 지하1층 8-2호
(지번) 제기동 1021",37.5790377655561,127.039142935818,02-965-3948,"손국시 (8,000원), 건진국시 (8,000원), 비빔밥 (8,000원), 수육 (12,000원), 부추전 (8,000원), 배추전 (8,000원)"
