이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
프리모바치오바치 홍대본점,4.0,263,"서울 마포구 와우산로23길 44 2-3층
(지번) 서교동 346-47",,,02-323-0098,"삐깐떼감베로니피자 (17,000원), 네베피자 (15,000원), 세이포르마쥐피자 (17,000원), 델라까사피자 (14,000원), 마르게따피자 (15,000원), 빠따따피자 (14,000원), 시저피자 (17,000원), 고르곤졸라피자 (17,000원), 마리나라리조또 (15,000원), 뽈로그라탕리조또 (13,000원), 케이준 감베로니리조또 (14,000원), 감베로니리조또 (14,000원), 베지타리아노샐러드 (8,000원), 삐꼴로 뽈로샐러드 (12,000원), 만조샐러드 (12,000원), 프리티 감베로니샐러드 (12,000원), 인살라따 미스토 디 마레샐러드 (14,000원), 시저샐러드 (12,000원), 바치오포르마쥐샐러드 (13,000원), 풍기 알라 바치오샐러드 (10,000원)"
크레이지카츠,4.0,558,"서울 마포구 포은로2나길 44 2층
(지번) 합정동 391-5",37.5504517603956,126.909712822276,070-8621-7219,"반반정식 (200g) (15,000원), 모둠정식 (230g) (18,000원), 냉소바 (10,000원), 크레이지 세트 (38,000원), 크레이지 돈맥 세트 (43,000원), 크레이지 돈볼 세트 (45,000원), 로스카츠정식 (180g) (13,000원), 히레카츠정식 (180g) (14,000원), 특로스카츠정식 (230g) (당일한정수량) (18,000원), 로스카츠 커리라이스 (13,000원), 에비후라이 커리우동 (10,500원), 커리우동 (9,000원), 야채 튀김 우동 (9,000원)"
영광보쌈,3.4,274,"서울 마포구 만리재로1길 14 1층
(지번) 공덕동 256-20",37.5452987922319,126.952992351329,02-716-0873,"보쌈 (26,000원)"
와이키키마켓,3.8,709,"서울 마포구 마포나루길 332
(지번) 상암동 1537-2",37.5588960431358,126.888660482013,02-854-8000,"한우꽃등심세트 (65,000원), 등심세트 (44,000원), 목살세트 (34,000원), 목살세트(런치) (29,000원)"
일일향 마포점,3.1,74,"서울 마포구 새창로2길 15-2
(지번) 도화동 179-2",37.541141989225,126.949192384413,02-702-2733,"양장피 (43,000원), 유산슬 (43,000원), 어향동고 (43,000원), 팔보채 (55,000원), 전가복（스페셜） (83,000원), 육즙 돼지고기 탕수육 (30,000원), 짜장면 (8,000원), 삼선간짜장＋후라이 (10,000원), 쟁반짜장 (20,000원), 옛날짬뽕 (10,000원), 하얀짬뽕 (11,000원), 삼선짬뽕 (14,000원), 옛날볶음밥＋후라이 (10,000원), 잡채볶음밥＋후라이 (13,000원), 군민두 (8,000원), 게살볶음 (55,000원), 오룡해삼 (80,000원), 해삼전복 (93,000원), 깐풍중새우 (38,000원), 크림중새우8P (38,000원), 칠리중새우8P (38,000원), 멘보샤8P (40,000원), 찹쌀탕수육（꿔바로우） (30,000원), 사천식 탕수육 (33,000원), 소고기 피망볶음＋꽃방 4개 (43,000원), 흑후추안심볶음 (50,000원), 동파육 (55,000원), 마라안심볶음 (50,000원), 꽃빵 (6,000원), 레몬치킨 (36,000원)"
당인동국수공장,3.6,113,"서울 마포구 와우산로3길 48-3
(지번) 당인동 25-9",37.5457899173517,126.920242432764,02-337-3007,"당인냉면 (13,000원), 당인온면 (13,000원), 비빔 메밀면 (13,000원), 들기름 메밀면 (13,000원), 어복쟁반 (48,000원), 당인온반 (13,000원), 옥수수온면 (13,000원), 곱창전골 (48,000원), 소고기수육 (33,000원), 소고기초무침 (30,000원), 돼지고기편육 (15,000원), 녹두전 (15,000원)"
마포나루 도화본점,4.3,81,"서울 마포구 삼개로 11 1층
(지번) 도화동 201-39",37.539367295599,126.947760216592,02-711-5959,"닭찜 (38,000원), 나루함박햄전골 (30,000원), 생굴+나루보쌈 (38,000원), 홍어+나루보쌈 (38,000원), 나루육개장 (8,000원), 나루국밥 (8,000원), 해물파전 (19,000원)"
몽중헌 공덕점,3.7,257,"서울 마포구 마포대로 92 효성해링턴스퀘어 A동 2층
(지번) 도화동 25-13",37.5429309787932,126.951246054763,02-2197-1881,"쇠고기초면 (18,000원), 홍콩식볶음국수 (14,000원), 해삼게살 수초면 (18,000원), 한우일품 자장면 (14,000원), 삼선짬뽕 (18,000원), 팔진탕면 (18,000원), 새우탕면 (18,000원), 마장새우두부탕면 (18,000원), 우육탕면 (18,000원), 중식냉면 (20,000원), 삼선우동 (20,000원), 유린기 (40,000원), 깐풍기 (40,000원), 라조기 (40,000원), 오렌지치킨 (40,000원), 잡탕밥 (22,000원), 잡채밥 (16,000원), 난식볶음밥 (17,000원), 소스게살볶음밥 (18,000원), 시그니처 볶음밥 (18,000원)"
일미락 상암점,3.6,189,"서울 마포구 성암로13길 40
(지번) 상암동 1493",37.576337051107,126.897193036978,02-302-9293,"발효가브리살 (24,000원), 발효목살 (22,000원), 통삼겹살 (19,000원), 통목살 (19,000원), 물갈비 (22,000원), 고추장삼겹살 (22,000원), 쪽갈비 (6,750원), 더덕구이 (14,000원), 된장술밥 (10,000원), 칼비빔면 (10,000원), 물막국수 (10,000원), 갱시기칼국수 (8,000원)"
강강술래 홍대점,3.6,78,"서울 마포구 잔다리로6길 25 1-2층
(지번) 서교동 369-10",,,02-3143-6635,"술래양념정식(1인분)(점심정식) (29,900원), 한돈양념정식(1인분)(점심정식) (29,000원), 술래양념정식(1인분)(저녁/주말정식) (39,900원), 한돈양념정식(1인분)(저녁/주말정식) (32,000원), 왕양념갈비(1인분)(1대)(260g) (49,000원), 술래양념구이(1인분)(1대)(290g) (33,000원), 한우육회(180g) (32,000원), 한돈양념구이(1인분)(230g) (25,000원), 한우꽃등심(1인분)(150g) (47,000원), 한우모둠(1인분)(150g) (39,000원), 왕양념갈비정식(1인분)(1대)(260g) (55,000원), 한우모둠정식(1인분)(150g) (43,000원), 한우우족탕 (15,000원), 도가니곰탕 (20,000원), 영양갈비탕 (15,000원), 한우육회비빔밥 (15,000원), 육회돌솥비빔밥 (15,000원), 차돌된장찌개 (10,000원), 영양솥밥 (10,000원), 돼지갈비(1인분) (19,900원), 우렁된장찌개 (10,000원), 제육볶음 (10,000원)"
향원정,3.9,94,"서울 마포구 양화로7길 28 1층
(지번) 서교동 386-10",37.5519656236036,126.914689372203,02-338-3110,"양 (29,000원), 소곱창 (26,000원), 차돌박이 (29,000원), 사태살 (27,000원), 등골 (25,000원), 내장무침 (18,000원), 양밥 (15,000원), 차곱전골 (소) (37,000원), 곱창전골 (소) (30,000원), 내장곰탕 (10,000원), 차돌된장 (9,000원)"
진미식당,3.7,220,"서울 마포구 마포대로 186-6 1층
(지번) 공덕동 105-127",37.550607750987,126.955802324859,02-3211-4468,"간장게장(포장)(1마리) (40,000원), 게장정식 (1인) (45,000원)"
소금집델리 망원,3.9,528,"서울 마포구 월드컵로19길 14 2층
(지번) 망원동 57-38",37.5568240087168,126.908235891395,02-336-2617,"잠봉뵈르 (10,800원), 잠봉 프로마쥬 (11,800원), 잠봉 선드라이드 토마토 (11,800원), 파스트라미 (12,800원), 모르티 (11,800원), 비어슁켄 프레첼 (12,800원), 루벤 (13,800원), BLT (11,800원), 샘플러 보드 (22,000원), 부라타 샐러드 (16,000원), 아란치니 (6,200원), 토마토 스프 (5,200원), 호기 (13,800원), 치킨 치폴레 (12,800원), 살라미 (10,800원), 베이컨 감자 수프 (6,200원), 소시지 & 매쉬 (16,000원), 감자튀김 (3,800원), 당근라페 (2,800원)"
피오니 홍대점,3.8,572,"서울 마포구 독막로7길 51 1층
(지번) 서교동 395-78",37.5500851944722,126.919764712297,02-333-5325,"드립커피 (4,500원), 드립커피라떼 (5,500원), 드립커피바닐라라떼 (6,000원), 드립커피크림라떼 (7,000원), 녹차 (5,000원), 홍차 (5,000원), 허브차 (5,000원), 딸기빙수 (11,000원), 딸기주스 (7,000원), 녹차라떼 (5,000원), 아이스초코/핫초코 (5,800원)"
영동감자탕,4.4,355,"서울 마포구 월드컵북로5길 17 1층
(지번) 서교동 448-2",37.5569698565035,126.917869561498,02-3141-8885,"감자탕 (소) (31,000원), 감자탕 (중) (38,000원), 감자탕 (대) (45,000원), 뼈추가 (20,000원), 사리 (가격정보 없음)"
을밀대 본점,4.2,"1,149","서울 마포구 숭문길 24
(지번) 염리동 147-6",37.5474926724344,126.945531718956,02-717-1922,"물냉면 (15,000원), 수육 (소) (35,000원), 녹두전 (12,000원), 홍어 (60,000원), 비빔냉면 (15,000원), 회냉면 (18,000원), 양지탕밥 (12,000원)"
파네트,4.2,472,"서울 마포구 마포대로11길 17
(지번) 공덕동 232-9",37.5487653674678,126.953174177864,02-719-4600,"아메리카노 (4,000원), 카페라떼 (4,800원), 카푸치노 (4,800원), 플랫화이트 (4,800원), 마스코바도라떼 (5,510원), 아인슈페너 (5,800원), 아포가토 (6,500원), 아이스크림라떼 (6,800원), 딸기라떼 (5,300원), 플레인요거트스무디 (5,300원), 딸기요거트스무디 (5,800원), 자몽요거트스무디 (5,800원), 팥빙수 (8,500원), 수박주스 (5,300원)"
진대감 마포점,4.5,"3,684","서울 마포구 마포대로12길 54
(지번) 공덕동 249-62",37.5466238440857,126.954481157634,02-715-1559,"한우꽃게된장찌개 (12,000원), 한우차돌짬뽕라면 (10,000원), 한우파김치전골 (55,000원), 한우차돌삼합 (29,000원), 한우투뿔모듬(No.9) (99,000원), 한우차돌박이 (29,000원), 갓김치물냉면 (10,000원), 갓김치비빔냉면 (10,000원)"
부산갈매기,4.0,128,"서울 마포구 도화길 48-3
(지번) 도화동 194-18",37.5417492226548,126.951015992899,02-718-5462,"껍데기 (10,000원), 갈매기살 (180g) (17,000원), 돼지갈비 (300g) (17,000원), 소금구이 (180g) (17,000원)"
앤트러사이트 합정점,3.6,262,"서울 마포구 토정로5길 10
(지번) 합정동 357-6",37.5458190457697,126.918434124547,02-336-7850,"아메리카노 (5,500원), 카페라떼 (6,000원), 솔티카라멜커피 (7,500원), 레몬 에이드 (7,000원), 뱅쇼 (8,000원), 에스프레소 (5,500원), 플랫화이트 (6,000원), 카푸치노 (6,000원), 바닐라라떼 (7,000원), 카페모카 (7,000원), 콜드브루바닐라라떼 (7,500원), 레몬티 (6,500원), 밀크티 (7,500원), 오늘의필터커피 (5,500원), 초콜렛밀크 (7,000원), 콜드브루 라떼 (6,500원)"
칸다소바 홍대점,4.3,533,"서울 마포구 와우산로 51-6 1층
(지번) 상수동 91-3",37.5492846251393,126.922687465257,02-332-1660,"마제소바 (11,000원), 아부라소바 (11,000원), 돼지껍데기 아부라소바 (13,500원), 하이볼 (7,000원), 레드락 생맥주 (4,000원), 이에케 돈코츠 라멘 (12,000원), 코카콜라(일반/제로) (2,000원), 스프라이트 (2,000원), 차슈 추가 (2,000원), 아지타마고 추가 (2,000원), 김 추가 (이에케) (500원)"
