이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
한옥집김치찜 서대문본점,2.7,239,"서울 서대문구 통일로9길 12 1층
(지번) 냉천동 20-1",37.5672716927969,126.964330722367,02-362-8653,"한옥집김치찜 (11,500원), 한옥집김치찌개 (11,500원), 한옥집달걀말이 (11,500원), 한옥집떡갈비 (10,500원), 한옥집도시락 (15,000원), 한옥집김치등뼈전골(소) (39,000원), 한옥집수육무침(소) (21,000원), 한옥집 김치 (5kg) (49,000원)"
신촌형제갈비,2.7,144,"서울 서대문구 명물1길 2 4층
(지번) 창천동 31-26",37.557838918578,126.937349643274,02-365-0001,"양념갈비(1인분)(280g) (35,000원), 생갈비(1인분)(280g) (35,000원), 雪花(설화)갈비(1인분)(280g) (50,000원), 평양냉면 (10,000원)"
만동제과,4.3,"1,690","서울 서대문구 연희로 32 1층
(지번) 창천동 448",37.5615334470122,126.92727545383,02-6489-2334,"마늘바게트 (7,200원), 어니언베이글 (6,200원)"
라구식당,4.0,"1,337","서울 서대문구 연세로 42-24 1층
(지번) 창천동 2-44",37.5592476588835,126.938437133431,02-364-2224,"라구파스타 (16,000원), 라자냐 (17,000원), 볼 샐러드 (3,000원), 바게트빵 (3,000원)"
고삼이 신촌점,4.4,270,"서울 서대문구 연세로7안길 38 1층
(지번) 창천동 53-8",37.5583197950081,126.934715143218,02-324-1403,"고등어 구이 (12,000원), 삼치구이 (15,000원), 오징어볶음 (12,000원), 소불고기 (12,000원), 된장찌개 (8,000원), 순두부찌개 (8,000원)"
카페폭포,4.1,504,"서울 서대문구 연희로 262-24 1층
(지번) 홍은동 429",37.5812948053803,126.93701979135,02-330-4998,"에스프레소 (4,000원), 아메리카노 (4,000원), 카페라떼 (4,500원), 바닐라라떼 (5,000원), 카푸치노 (5,000원), 초코라떼 (4,500원), 유자차 (4,500원), 캐모마일 (4,500원), 페퍼민트 (4,500원), 자스민 (4,500원), 레몬에이드 (4,500원), 아이스티 (4,000원), 생수 (1,000원), 트레비(탄산수) (1,500원)"
가타쯔무리,4.2,294,"서울 서대문구 명지대길 72 1층
(지번) 남가좌동 8-25",37.5832290529715,126.923443977473,,"가케우동 (9,000원), 붓가케우동 (10,000원)"
춘천집닭갈비막국수 신촌,3.3,63,"서울 서대문구 연세로5가길 1 1층
(지번) 창천동 57-8",37.5570512259571,126.936096541612,02-325-2361,"치즈닭갈비 (14,000원), 뼈없는닭갈비 (13,000원), 매운닭갈비 (13,000원), 쟁반국수 (14,000원), 막국수 (7,500원)"
목란,3.2,841,"서울 서대문구 연희로15길 21
(지번) 연희동 132-28",37.5683879983016,126.930489467973,02-732-0054,"탕수육 (22,000원), 양장피 (38,000원), 유린기 (35,000원), 깐풍기 (35,000원), 라조기 (35,000원), 공보기정 (35,000원), 깐풍닭날개 (40,000원), 산라탕 (22,000원), 영덕대게게살스프 (32,000원), 중새우칠리 (40,000원), 깐풍중새우 (40,000원), 고추중새우볶음 (42,000원), 크림중새우 (40,000원), 깐풍관자 (55,000원), 관자튀김 (55,000원), 굴기름관자 (55,000원), 마라관자 (55,000원), 잡탕밥 (18,000원), 게살볶음밥 (13,000원), 새우볶음밥 (10,000원), 탄탄면 (12,000원), 기스면 (8,000원), 짬뽕 (15,000원), 짜장면 (10,000원)"
라이라이,3.6,122,"서울 서대문구 연희로15길 27
(지번) 연희동 132-27",37.5685901508409,126.930437098041,02-338-3203,"동파육 (36,000원), 칠리가지 (25,000원), 유린기 (31,000원), 깐풍기 (31,000원), （추천메뉴）사천탕수육 (33,000원), 크림새우 (36,000원), 유니짜장 (9,000원), 간짜장 (11,000원), 쟁반짜장 (13,000원), 짬뽕 (11,000원), 삼선짬뽕 (14,000원), 물만두 (9,000원), 군만두 (9,000원), 오향장육（소고기） (36,000원), 해파리냉채 (17,000원), 볶음밥 (11,000원), 잡채밥 (13,000원), 고추덮밥 (14,000원), 짬뽕밥 (12,000원), 삼선짬뽕밥 (15,000원), 라조기밥 (15,000원), 유산슬밥 (17,000원), 잡탕밥 (18,000원), 싼라탕 (21,000원), 옥수수계란스프 (17,000원), 해물누룽지탕 (43,000원), 탕수육 (27,000원), 잡채 (27,000원), 고추잡채 (33,000원), 꽃빵 (8,000원)"
