이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
옛골토성,3.9,"1,227","서울 서초구 청계산로 434
(지번) 신원동 69-7",37.430458638124,127.070912722917,02-577-9494,"소한마리(4인) (97,000원), 와규등심(1인) (33,000원), 우대갈비(1대) (33,000원), 우삼겹(1인) (20,000원), 소갈비살(1인) (23,000원), 오리훈제바베큐(1인) (17,000원), 생오리로스(한마리) (58,000원)"
서관면옥 교대본점,4.0,455,"서울 서초구 서초대로56길 11 1층
(지번) 서초동 1675-5",37.4939907944744,127.017269436895,02-521-9945,"평양냉면 (16,000원), 선비냉면 (16,000원), 골동냉면 (16,000원), 맛박이냉면 (18,000원), 랭반 (17,000원), 서관면상 (점심특선) (18,000원), 한우수육 (35,000원), 돝제육 (21,000원), 서관만두 (13,000원), 녹두빈대떡 (19,000원), 어복쟁반 (작은반) (80,000원)"
배나무골 양재본점,4.0,12,"서울 서초구 마방로2길 12 보성빌딩 지하1층
(지번) 양재동 241-3",37.4730945210073,127.039129900303,02-571-5252,"배나무골정식 (23,000원), 보리굴비정식 (26,000원), 연화코스 (49,000원), 오봉코스 (60,000원)"
임병주 산동칼국수,3.3,"1,352","서울 서초구 강남대로37길 65 2층
(지번) 서초동 1365",37.4845663234169,127.029985196755,02-3473-7972,"산동칼국수 (12,000원), 평양왕만두 (12,000원), 만두국 (12,000원), 냉콩국수 (13,000원), 보쌈 (50,000원), 왕족발 (50,000원)"
해몽,4.3,324,"서울 서초구 사평대로56길 8 양정빌딩 2층 가호
(지번) 서초동 1302-45",37.5032358705882,127.022917469713,02-515-6080,"등갈비 (1,900원), 목살(300g) (28,000원), 항정살(180g) (16,000원), 등갈비(300g) (19,000원), 김치찌개 (8,000원), 고추장찌개 (10,000원), 냄비비빔밥 (5,000원), 라면 (4,000원)"
강남복칼국수,4.2,247,"서울 서초구 서초대로74길 23 서초타운트라팰리스 2층 204호
(지번) 서초동 1327",37.4956119342423,127.027090955824,02-3486-0252,"복칼국수 (2인이상) (13,000원), 김치복칼국수 (2인이상) (13,000원), 복국 (15,000원), 복튀김 (소) (25,000원), 복찜 (중) (45,000원)"
요멘야고에몬 강남점,3.4,495,"서울 서초구 서초대로77길 7 서초빌딩 1층
(지번) 서초동 1317-13",37.4984515310599,127.026362681735,02-534-8036,"런치세트 A (13,500원), 런치세트 B (15,500원), 런치세트 C (14,500원), 런치세트 D (16,500원), 레귤러 세트 (15,900원), 라지 세트 (16,900원), 디저트 세트 (18,900원), 수플레오믈렛 멘타이꼬 리조또 (14,000원), 요쿠바리 간장버터 (13,000원), 연어 이쿠라 토마토크림 (14,000원), 연어 이쿠라 크림소스 (14,000원), 연어 이쿠라 간장커리 (14,000원), 스키아키 스파게티 (13,000원), 치킨 카라아게 미소소스 (13,000원), 까르보나라 칠리토마토 (12,900원), 슈림프 모짜렐라 치즈 (12,900원), 매콤 새우 버섯 토마토소스 (12,900원), 매운해물페페론치노 (13,000원), 슈림프 아보카도 바질페스토 (13,900원), 포르치니 버섯 크림소스 (13,900원)"
조양관,3.0,625,"서울 서초구 서초대로74길 29 서초파라곤오피스텔 1층, 지하1층
(지번) 서초동 1327-29",37.49494258899,127.027426341397,02-3473-8181,"갈비찜 (대) (50,000원), 갈비찜 (소) (30,000원), 대하구이 (40,000원), 더덕 오징어 구이 (25,000원), 떡갈비 (30,000원), 메로구이 (30,000원), 모듬회 (50,000원), 문어숙회와 해조찜 (40,000원), 바싹 불고기 (25,000원), 보리굴비찜 (20,000원), 복분자 장어구이 (65,000원), 삼합 (대) (50,000원), 삼합 (소) (30,000원), 상견례 특선 (50,000원), 구절판 (0원), 삼합 (0원), 상차림 양(陽) (0원), 상차림 (0원), 상차림 관(館) (0원), 상차림 조(朝) (0원)"
바른식시골보쌈&감자옹심이 교대점,4.0,28,"서울 서초구 서초대로52길 17 창성빌딩 1층
(지번) 서초동 1658-1",37.4930433656947,127.014756600474,02-583-6431,"바비큐 훈제 오리보쌈 (37,000원), 모둠보쌈 (50,000원), 반반보쌈 (46,000원), 시골보쌈 (41,000원), 보족세트 (47,000원), 꼬막무침 (26,000원), 감자옹심이 (12,000원), 메밀전병 (14,000원), 쭈꾸미철판 (29,000원), 공기밥 (1,000원), 감자전 (14,000원), 쟁반막국수 (16,000원), 해물파전 (17,000원), 모둠한상 (104,000원), 시골한상 (103,000원), 보쌈정식도시락 (13,000원), 사이다 （355mL） (2,000원), 콜라 （355mL） (2,000원)"
됐소 강남점,4.1,138,"서울 서초구 서초대로78길 36 지하층 1호
(지번) 서초동 1327-13",37.4947119400032,127.028155068247,02-586-8588,"삼겹살(150g) (18,000원), 한우투뿔등심 (150g) (48,000원), 됐소모듬(600g) (105,000원), 한돈모듬(600g) (72,000원), 한우안심 (150g) (54,000원), 한우갈비살 (150g) (45,000원), 한우 모듬(600g) (145,000원), 한우양념구이 (150g) (38,000원)"
