이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
쎈느,3.8,58,"서울 성동구 연무장5길 20 1,2층
(지번) 성수동2가 314-2",,,02-469-2122,"아메리카노 (5,000원), 라떼 (6,000원), 바닐라라떼 (6,800원), 초콜릿라떼 (7,500원), 파인애플생과일주스 (8,000원)"
본앤브레드 신관레스토랑,3.3,98,"서울 성동구 마장로42길 1 지하1층,1-3층
(지번) 마장동 781-15",37.5667900850107,127.044501416681,02-2294-5005,"한우 맡김차림 (380,000원), 프라이빗 다이닝 디너(1인) (250,000원), 프라이빗 다이닝 런치(1인) (200,000원), 캐쥬얼 다이닝 코스(1인) (165,000원), 한우모듬(200g) (100,000원), 한우모듬(300g) (130,000원), 스피키지 스페셜(1인) (380,000원)"
정선부뚜막,3.5,131,"서울 성동구 서울숲6길 14 1층
(지번) 성수동1가 668-13",37.5475239707245,127.043039345121,02-499-8253,"곤드레밥상 (10,000원)"
강남면옥 성수점,3.1,269,"서울 성동구 성수일로 77 1층 110,111호
(지번) 성수동1가 13-171",37.5474049437892,127.050343491959,02-6968-0800,"홍어회 (40,000원), 갈비찜 (대) (82,000원), 갈비찜 (소) (52,000원), 갈비찜 (중) (67,000원), 갈비탕 (16,000원), 갈비탕(특) (19,000원), 만두국 (11,000원), 물냉면 (12,000원), 비빔냉면 (12,000원), 수육 (40,000원), 찐만두(반접시) (6,000원), 찐만두(한접시) (10,000원), 회냉면 (13,000원), 섞어냉면 (13,000원)"
악어떡볶이,3.7,442,"서울 성동구 마조로 33 1층
(지번) 행당동 3-27",37.5606485083606,127.041091574869,02-2281-9988,"떡볶이 (5,000원), 떡볶이튀김범벅 (10,000원), 순대 (4,500원), 오뎅 (4,000원), 모듬튀김(5개) (5,000원), 새우튀김(5개) (5,000원), 김밥 (4,000원), 우동 (4,000원), 라면 (4,000원), 쫄면 (7,000원), 찐계란 (3개) (2,500원), 물떡 (3,000원)"
제스티살룬 성수,4.1,"1,565","서울 성동구 서울숲4길 13 1층
(지번) 성수동1가 668-30",37.547569053835,127.042449913108,02-2205-2622,"와사비 쉬림프 버거 (11,300원), 트러플 루꼴라 쉬림프 (12,800원), 제스티 갈릭 버거 (10,300원), 아메리칸 치즈 버거 (9,300원), 치폴레 칠리 버거 (10,300원), 프라이즈 (베이직) (4,300원), 제스티 갈릭(더블) (14,300원), 아메리칸 치즈(더블) (13,300원), 치폴레 칠리(더블) (14,300원), 콘 샐러드 (2,000원), 핫 치폴레 치킨텐더(4pc) (7,300원), 갈릭 치킨텐더(4pc) (7,300원), 치즈 프라이즈 (5,300원), 갈릭치즈 프라이즈 (6,300원), 할라피뇨 베이컨 프라이즈 (6,300원), 미트 칠리 프라이즈 (6,800원)"
스시도쿠,4.1,"1,034","서울 성동구 왕십리광장로 6 1층
(지번) 행당동 196-23",37.560950003452,127.036061946811,02-2281-3255,"기특함 가득찬 특품스시(12pc) (25,900원), 양심을 지키는 양품스시(8pc) (15,900원), 근본이 살아있는 본품스시(10pc) (19,900원), 한점 한점 예술인 작품스시(13pc) (36,900원), 한점 한점 예술인 작품스시 1.5배 세트(13pc) (24,800원), 1.5배 명작스시 (30,800원), 양품스시(8pc)와 특제우동정식 (18,800원), 특품스시(12pc)와 특제우동정식 (28,800원), 양품스시와 3품요리 정식 (21,800원), 특품스시와 3품요리 정식 (31,800원), 양품스시와 13품 술상 (31,800원), 특품스시와 13품 술상 (39,800원)"
센터커피 서울숲점,3.8,331,"서울 성동구 서울숲2길 28-11 1층
(지번) 성수동1가 685-478",37.5465614024403,127.04161829528,070-8868-2008,"에스프레소 (HOT) (5,000원), 아메리카노 (HOT) (5,000원), 아메리카노 (ICE) (5,000원), 콜드브루 (ICE) (7,000원), 라떼 (HOT) (6,000원), 라떼 (ICE) (6,000원), 카푸치노 (HOT) (6,000원), 모카 (HOT) (6,500원), 모카 (ICE) (6,500원), K-72 (HOT) (8,000원), K-72 (ICE) (8,000원), 더블소크 (HOT) (9,000원), 더블소크 (ICE) (9,000원), 오렌지허니 (HOT) (8,000원), 오렌지허니 (ICE) (8,000원), 게이샤 진 토닉 (ICE) (7,500원), 피치 밀크쉐이크 (ICE) (6,500원), 꿀 자몽 주스 (ICE) (7,000원), 초콜릿 (HOT) (6,500원), 초콜릿 (ICE) (6,500원), 핸드드립 (0원)"
행운돈까스,3.7,188,"서울 성동구 마조로1길 2
(지번) 행당동 20-17",37.5583719622945,127.040298759314,02-2296-3406,"돈까스 (9,000원), 정식 (10,000원), 생선까스 (10,000원), 고구마돈까스 (10,000원), 돈까스&김치볶음밥 (10,000원), 매운돈까스 (10,000원), 치즈돈까스 (10,000원), 새우정식 (10,000원)"
온량,3.7,394,"서울 성동구 서울숲4길 26-10 1층
(지번) 성수동1가 668-54",37.5469398891445,127.043433260445,02-6403-3643,"스파이시 로제 파스타 (18,000원), 만조 크림 파스타 (17,000원), 불고기필라프 (14,000원), 리코타 치즈 샐러드 (13,000원), 토마호크 포크 커틀렛 (21,000원)"
