이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
성북동면옥집,2.9,286,"서울 성북구 대사관로 40
(지번) 성북동 330-105",37.595893623474,126.988630794544,02-765-3450,"왕갈비찜 (미) (59,000원), 회냉면 (13,000원), 물냉면 (12,000원), 비빔냉면 (12,000원), 오색만두 (11,000원), 사골만듯국 (12,000원), 왕갈비탕 (17,000원), 수육 (42,000원), 홍어회무침 (17,000원), 모듬전(미) (25,000원)"
나폴레옹과자점 성북본점,3.1,106,"서울 성북구 성북로 7
(지번) 성북동1가 35-5",37.5889000220847,127.005061678527,02-742-7421,"소프트롤(10개입) (6,400원), 크림빵 (2,900원), 초코칩 모닝빵(10개입) (6,400원), 밀크식빵 (5,100원), 토종밤식빵 (5,800원), 구로칸토슈니탱 (24,000원), 녹차롤 (19,000원), 호두쉬폰 케이크 (46,000원), 모카케이크 (49,000원), 플라워케이크 1호 (65,000원)"
서울왕돈까스 성북동본점,3.5,135,"서울 성북구 창경궁로35다길 140 1,2층
(지번) 성북동 131-85",,,02-766-9370,"왕돈까스 (13,000원), 생선까스 (14,000원), 불돈까스 (14,000원), 서울정식（왕돈까스＋생선까스+함박스테이크） (16,000원), 치즈돈까스 (15,000원), 새우까스 (15,000원), 반반（돈까스＋생선까스) (14,000원), 냉모밀 (9,000원), 어묵우동 (9,000원), 비후까스 (16,000원), 왕돈정식（왕돈까스＋함박1개） (16,000원), 생선정식（생선까스＋함박1개） (16,000원), 바베큐돈까스 (14,000원), 함박스테이크 (15,000원), 육개장 (12,000원), 크림스프 (1,000원), 돈까스소스 (1,000원), 생선까스소스 (2,000원), 불소스（매운맛） (1,000원), 바베큐소스 (1,000원), 공기밥 (1,000원), 부산어묵 2개 (4,000원), 치즈스틱 5개 (4,000원), 고구마 치즈스틱 5개 (4,000원), 풋고추 (1,000원), 청양고추 (1,000원), 코카콜라 355mL (2,000원), 칠성사이다 355mL (2,000원), 웰치스포도 355mL (2,000원), 웰치스청포도 355mL (2,000원)"
해로커피,4.5,244,"서울 성북구 성북로 19-3 1층
(지번) 성북동1가 66",37.5896195876384,127.00422352198,02-6012-9871,"아메리카노 (5,000원), 카페라떼 (5,500원), 콜드브루 (5,500원), 아인슈페너 (6,000원), 크림초코 (6,000원), 크림말차 (6,000원), 플랫화이트 (5,500원), 카푸치노 (5,500원), 롤드브루 (5,500원), 하우스밀크티 (6,000원), 피넛버터크럼블 (6,500원), 셔벗에이드 (7,000원), 에이드(체리+복숭아) (6,500원), 드립커피 (변동가격)"
제순식당 본점,4.3,73,"서울 성북구 동소문로20다길 30-9
(지번) 동선동1가 85-59",37.5918257346199,127.018499259739,02-927-2007,"제육볶음(1인가능) (9,000원), 간장불고기(2인이상) (9,000원), 오제볶음(2인이상) (9,500원), 간장오불(2인이상) (9,500원), 쭈제볶음(2인이상) (9,500원), 오징어볶음(2인이상) (10,000원), 쭈꾸미볶음(2인이상) (10,000원), 된장찌개 (8,000원), 순두부찌개 (8,000원)"
제주고깃집 성북구청점,4.4,347,"서울 성북구 보문로 144 1층
(지번) 보문동1가 9-8",37.5878969916318,127.01827954156,02-921-0505,"제주오겹살(1인) (16,000원), 제주목살(1인) (16,000원), 제주항정살(1인) (17,000원), 제주가브리살(1인) (17,000원), 근고기(모듬) (51,000원), 뒷고기(1인) (14,000원), 덜미살(1인) (14,000원), 벌집껍데기(1인) (11,000원), 간장블백 (10,000원), 고추장블백 (10,000원), 매콤치즈블백 (12,000원), 제주도새기김치찌개 (9,000원), 제주도새기된장찌개 (9,000원), 함흥냉면 (8,000원)"
유자유김치떡볶이 본점,3.9,280,"서울 성북구 고려대로24길 48 2층
(지번) 안암동5가 102-37",37.584004645732,127.029290486633,02-928-7754,"치킨피자김치떡볶이 (25,500원), 김치떡볶이 (13,500원), 치킨김치떡볶이 (22,000원), 오징어튀김 (6,500원), 피자김치떡볶이 (21,500원), 닭김치떡볶이 (18,000원), 돈김치떡볶이 (18,000원), 해물김치떡볶이 (18,500원), 차돌김치떡볶이 (21,500원), 순대김치떡볶이 (16,000원)"
국화정원,3.7,31,"서울 성북구 성북로 154
(지번) 성북동 264",37.5945639918364,126.992702840119,02-741-0021,"국화정원 특선 (120,000원), 정 1품 (85,000원), 정 2품 (62,000원), 정 3품 (42,000원), 간장게장 특선 (45,000원), 점심특선 (32,000원)"
쌍다리돼지불백 본점,3.0,157,"서울 성북구 성북로23길 4 1층
(지번) 성북동 109-2",37.5934987159111,126.995688051883,02-743-0325,"돼지불백 (12,000원), 돼지불백(특) (17,000원), 돼지불백비빔 (12,000원), 낙지볶음 (12,000원), 부대찌개 (12,000원), 파무침 (4,000원)"
밀곳간 본점,4.2,255,"서울 성북구 성북로18길 19 1층
(지번) 성북동 63-1",37.5941152513211,126.999325817313,02-742-0525,"뺑 오 쇼콜라 (3,500원), 바게트 (가격정보 없음), 무화가랑고구마 (가격정보 없음), 모찌식빵 (가격정보 없음), 100%멧돌제분통밀식빵 (가격정보 없음), 올리브바게트 (가격정보 없음), 뺑드카페 (가격정보 없음), 무화과 사워도우 브레드 (가격정보 없음), 통밀 사워도우 브레드 (가격정보 없음), 시금치 올리브푸가스 (가격정보 없음), 호밀바게트 (가격정보 없음), 행복바구니 (가격정보 없음), 호두와무화가펌퍼니클 (가격정보 없음), 펌퍼니클 (가격정보 없음), 100%호밀빵 (가격정보 없음), 장발장이훔친빵 (가격정보 없음), 치즈치아바타 (가격정보 없음), 크랜베리스콘 (가격정보 없음), 살라미푸가스 (가격정보 없음), 파르메장 (가격정보 없음)"
