이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
강동반상,3.6,158,"서울 강동구 상일로6길 39 강동타워 지하1층
(지번) 상일동 502",37.5498036802654,127.175347693962,02-429-2733,"궁중갈비찜 (60,000원), 소고기만두전골 (25,000원), 두부김치 (15,000원), 통오징어 (13,000원), 보쌈수육 (13,000원), 더덕구이 (16,000원), 황태구이 (12,000원), 녹두전 (12,000원), 간장게장 (2마리) (9,000원), 김치제육볶음 (8,000원)"
백년화편,3.9,462,"서울 강동구 양재대로81길 32 1층
(지번) 성내동 442-12",37.5233052345274,127.132528261747,1588-5678,"밥알찹쌀떡 1box(32개) (42,000원), 밥알흑임자 1box(32개) (42,000원), 밥알찹쌀떡 + 양갱모둠세트 (67,000원), 밥알흑임자 + 양갱모둠세트 (67,000원)"
송월냉면,3.9,135,"서울 강동구 천중로18길 57 1층
(지번) 천호동 398-10",37.5423775571724,127.129574308524,02-484-1910,"물냉면 (7,000원), 비빔냉면 (7,000원), 열무물냉면 (7,000원), 열무비빔냉면 (7,000원)"
스윗솔트,4.5,345,"서울 강동구 상암로 286
(지번) 명일동 222-3",37.5454812745578,127.154135688838,02-3427-0999,"까르보나라 파스타 (18,000원), 토마토 미트볼 파스타 (18,500원), 베이컨 치즈 버거 + 감자튀김 (17,000원), 프렌치 토스트 (15,500원), 잠봉 에그베네딕트 (15,500원), 미트볼 샌드위치 + 감자튀김 (16,500원), 알리오올리오 파스타 (17,500원), 치즈버거 + 감자튀김 (15,500원), 에스프레소 (5,500원), 아메리카노 에티오피아 샤키소 (6,500원), 까페라떼 (6,000원), 스윗라떼 (7,000원), 아인슈페너 (7,500원), 카푸치노 (6,000원), 얼그레이 (6,000원), 말차 그린티 라떼 (7,000원), 생강레몬차 (7,000원), 자몽차 (7,000원), 레몬 / 자몽 / 청포도 / 레드깔라만시 에이드 (7,000원), 플레인 / 딸기 / 블루베리 요거트 스무디 (7,500원)"
봉래면옥,4.2,71,"서울 강동구 명일로 200-16
(지번) 길동 227-1",37.536522676777,127.146680023676,02-6081-2500,"평양냉면 (물/비) (12,000원), 순면 (14,000원), 갈비탕 (14,000원), 사골만둣국 (10,000원), 사골곰탕 (10,000원), 소갈비찜 (소) (50,000원), 어복쟁반 (중) (50,000원), 수제만두 (10,000원), 메밀전 (8,000원), 석쇠불고기 (30,000원), 아롱사태편육 (25,000원)"
지리산왕재봉흑돼지,4.0,127,"서울 강동구 상암로 26 1층
(지번) 암사동 511-20",37.5504480029606,127.126394628384,02-3426-5120,"흑돼지삼겹살(180g) (17,000원), 목살(180g) (17,000원), 가브리(180g) (17,000원), 항정살(160g) (19,000원)"
쭈꾸미도사 천호점,4.0,62,"서울 강동구 천호대로158길 9 1층
(지번) 성내동 11-9",37.537084566356,127.126480349797,02-488-0523,"대창쭈꾸미 (18,000원), 쭈차새 (16,000원), 오리지날 쭈꾸미 (15,000원), 삼겹쭈꾸미 (16,000원), 차돌쭈꾸미 (16,000원), 쭈곱새 (16,000원)"
화진포막국수 강동구청점,3.9,140,"서울 강동구 성내로10길 12 1층
(지번) 성내동 559-9",37.5284392781969,127.124537634413,02-478-1539,"순메밀 동치미 막국수 (10,000원), 순메밀 열무 막국수 (10,000원), 명태 식해 비빔 막국수 (11,000원), 들기름 막국수 (10,000원), 메밀곰국시 (10,000원), 떡만두국 (10,000원), 어린이메밀 (6,000원), 접시수육 (25,000원), 명태식해보쌈 (25,000원), 항정보쌈 (중) (35,000원), 수육정식 (2인 이상) (16,000원), 물만두 (5,000원)"
에이컷스테이크 올림픽공원점,4.1,80,"서울 강동구 강동대로 187 파크뷰캐슬 2층
(지번) 성내동 468-4",37.5248151675743,127.127421099558,02-482-8050,"Awesome steak BOX (23,000원), Awesome shrimp BOX (22,500원), Awesome Porkribs BOX (23,500원), 버팔로 치킨박스 (17,500원), 알리오올리오 (12,000원), 비프 스테이크 필라프 (21,000원), 뉴욕 스트립 스테이크 (39,000원), 프리미엄 에이컷스트립스테이크 (49,000원), 프리미엄 립아이 스테이크 (48,000원), 까망베르 피자 (19,000원), 스테이크하우스피자 (21,000원), 통삼겹 김치 필라프 (21,000원), 팝오버 (1,500원), 홈메이드 리코타 샐러드 (9,900원), 우삼겹파스타 (16,000원), 코카콜라 335mL (2,000원), 스프라이트 335mL (2,000원)"
고모네원조콩탕황태탕,4.3,150,"서울 강동구 풍성로57길 13
(지번) 성내동 413-13",37.5296598239401,127.135931383541,02-485-4675,"고모네감동 (23,000원), 고모네 사랑 (28,000원), 고모네다정 (28,000원), 콩국수 (14,000원), 온콩국수 (14,000원), 두부황태탕 (16,000원), 콩탕 (11,000원), 콩비지 (11,000원), 청국장 (11,000원), 황태해장국 (11,000원), 황태찜 (47,000원), 녹두전 (14,000원), 두부김치전골 (대) (41,000원), 두부김치전골 (중) (31,000원), 포두부쌈 (소) (33,000원), 포두부쌈 (중) (43,000원), 모두부 (11,000원)"
