name,degree,review num,address,tel
인생한우,3.8,342.0,서울 성동구 마장로31길 43 영지빌딩 2층,02-2292-2888
밀도 성수본점,3.7,155.0,서울 성동구 왕십리로 96 1층,02-497-5050
밀본,3.0,39.0,서울 성동구 아차산로 67-16 KIMG빌딩 1층,02-499-9801
땅코참숯구이 본점,4.1,636.0,서울 성동구 행당로17길 26 1층,02-2281-6908
만두전빵,3.9,248.0,서울 성동구 행당로15길 2-1 1층,02-2292-6882
할머니의레시피,3.6,405.0,서울 성동구 서울숲2길 44-12,02-467-5101
왕십리조개창고,3.1,283.0,서울 성동구 왕십리로 331 경진빌딩 지하1층,010-4596-0449
능동미나리 성수점,3.9,644.0,서울 성동구 연무장길 42 1층,
강남면옥 성수점,3.0,266.0,"서울 성동구 성수일로 77 1층 110,111호",02-6968-0800
어니언 성수,3.5,709.0,"서울 성동구 아차산로9길 8 1,2층",070-4353-3238
유래회관,4.1,115.0,서울 성동구 마장로 196,02-2293-8866
대성갈비,3.2,268.0,서울 성동구 상원1길 26 서울숲A타워 1층 101~103호,02-464-3012
사람사는고깃집김일도 성수점,3.6,124.0,서울 성동구 성수이로 90 1층,02-499-1123
왕십리 수상한막창,4.5,223.0,서울 성동구 무학봉28길 20 1층,02-2282-3177
제일곱창 본점,3.9,214.0,서울 성동구 고산자로 281 1층,010-8690-9792
피어커피 성수,4.2,81.0,서울 성동구 광나루로4가길 24 1층,02-474-1464
성수동대림창고갤러리,3.0,985.0,서울 성동구 성수이로 78 1층,0507-1390-9669
전풍호텔라운지,3.6,187.0,서울 성동구 무학봉28길 7 1층,02-2299-7000
성수족발,3.3,502.0,서울 성동구 아차산로7길 7 1층,02-464-0425
브루잉세레모니,4.5,182.0,서울 성동구 연무장5가길 22-1 1층,0507-1317-4771
우동가조쿠,4.2,294.0,서울 성동구 왕십리로 215-2 1층,
한우마을,4.3,330.0,서울 성동구 고산자로24길 11 2층,02-2291-0292
차이나플레인 서울숲점,3.3,177.0,서울 성동구 뚝섬로1길 25,02-2088-8493
이로우,4.0,304.0,서울 성동구 연무장길 12 1층,02-6953-7448
말방국밥 성수본점,4.2,342.0,서울 성동구 광나루로8길 9 1층,02-499-4992
로우키,4.4,456.0,서울 성동구 연무장3길 6 1층,070-8824-2010
엘루이피자 왕십리점,3.8,53.0,서울 성동구 마조로5길 12 1층,02-2291-1365
높은집종가산꼼장어,4.6,260.0,서울 성동구 왕십리로21길 17 1층,02-2292-4074
호남집,3.8,42.0,서울 성동구 살곶이길 18 성동안심상가 마장청계점 202호,02-2295-0118
오우드(OUDE),3.8,342.0,서울 성동구 성수이로24길 36 2층,070-8840-2436
성수명당,4.0,468.0,서울 성동구 연무장19길 10 1층,070-8833-3227
소나무,3.7,448.0,서울 성동구 행당로17길 20 1층,
민정식당 서울숲점,3.1,47.0,서울 성동구 상원길 51,02-466-3837
광장족발 본가,4.2,80.0,서울 성동구 아차산로 96 1층,02-463-5800
스탠다드브레드 성수,3.8,274.0,서울 성동구 성수이로18길 37 1층,
할아버지공장,3.2,503.0,서울 성동구 성수이로7가길 9 1-2층,02-6402-2301
훼미리손칼국수보쌈,3.4,692.0,서울 성동구 왕십리로 134 1층,
아우프글렛 금호점,3.4,114.0,서울 성동구 독서당로51길 7 1층,070-7713-0211
눈꽃돼지,4.5,90.0,서울 성동구 왕십리로8길 17-4,02-464-2072
