이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
밀란국수 개포본점,국수,4.2,208,"서울 강남구 개포로28길 4 1층 101호
(지번) 개포동 1215",37.47853145,127.0491193,02-574-3216,"밀란샤브 (2인이상) (14,000원), 복칼국수 (기본) (10,000원), 복칼국수 (얼큰) (10,000원), 들깨칼국수 (2인이상) (10,000원), 코다리찜 (2인이상) (11,000원), 복국 (기본) (10,000원)",매일 10:40 ~ 21:10 · 휴게시간 매일 15:30 ~ 17:00
단미그린비,한정식,3.2,87,"서울 강남구 밤고개로14길 13-50
(지번) 자곡동 286",37.47929986,127.102657,02-445-2100,"현보정찬 (1인분) (90,000원), 귀연정찬 (1인분) (65,000원), 자연정찬 (1인분) (45,000원), 미소정찬 (1인분) (35,000원), 해연정찬 (1인분) (27,000원)","토,일 11:30 ~ 21:30 · 휴게시간 화~일 15:00 ~ 17:30"
하영각,중국요리,3.9,106,"서울 강남구 개포로31길 8
(지번) 개포동 1262-14",37.47963103,127.0497999,02-572-5593,"누룽지탕 (45,000원)","월,수,목,금,토,일 11:00 ~ 21:00 · 휴게시간 월,수,목,금,토,일 15:00 ~ 17:30"
원스타올드패션드 햄버거,양식,4,329,"서울 강남구 논현로26길 23 1층
(지번) 도곡동 424-11",37.48285691,127.0443679,0507-1448-4377,"치즈버거 (8,800원), 원스타 디럭스 (10,800원), 비.엘.티 (10,300원), 비.이.엘.티 (10,800원), 패티멜트 (11,800원), 머쉬룸 스위스 (11,800원), 프렌치프라이 (8,000원), 치즈프라이 (10,000원), 칠리치즈프라이 (13,000원), 스위트포테이토프라이 (12,000원), 어니언링 (13,000원), 버팔로윙 (13,000원)",매일 11:30 ~ 20:50 · 휴게시간 매일 15:00 ~ 17:00
비플레이트 바이브라운브레드,"제과,베이커리",3.8,74,"서울 강남구 논현로24길 41 1층
(지번) 도곡동 456-7",37.48291914,127.0460844,070-8658-1236,"소프트로프 (10,900원), 3가지 버섯과 페타치즈 포카치아 샌드위치 (11,900원), 치킨샌드위치 (13,900원), 라우겐베이글 샌드위치 (10,900원), 브레칠 (6,100원)",일요일
브라이언스커피,디저트카페,3.4,437,"서울 강남구 논현로26길 46 1층 101,201호
(지번) 도곡동 457",37.4838573,127.0457844,02-529-6399,"아메리카노 (5,000원), 몰라떼 (7,000원), 플랫화이트 (6,000원), 카페라떼/카푸치노 (6,000원), 에스프레소 (4,500원), 콜드브루 (6,000원), 제주레모네이드 (7,000원), 제주레몬티 (7,000원), 아라과니 다크초콜릿 (6,000원), 제주녹차 (6,000원)",매일 09:00 ~ 22:00
리베르떼,양식,4.4,150,"서울 강남구 논현로26길 55 1층
(지번) 도곡동 422-6",37.48438473,127.0462969,02-577-1044,"Dinner (0원), Lunch (0원), 오일파스타 (가격정보 없음), 파스타 (가격정보 없음), 오늘의파스타 (가격정보 없음), 양갈비스테이크 (가격정보 없음), 비프부르기뇽 (가격정보 없음), 수프 (가격정보 없음), 이베리코 (가격정보 없음), 한우안심 (가격정보 없음), 한우채끝 (가격정보 없음), 양갈비 (가격정보 없음), 오늘의디저트 (가격정보 없음), 한우채끝등심스테이크 (가격정보 없음), 한우 (가격정보 없음), 푸아그라 (가격정보 없음), 대게 (가격정보 없음)",매일 12:00 ~ 22:00 · 휴게시간 매일 15:00 ~ 18:00
애란궁,오리,3.8,60,"서울 강남구 광평로 220-12
(지번) 수서동 490-4",37.48481424,127.097844,02-445-5292,"통오리한마리(2~3인) (73,000원), 오리바베큐꽃쌈(2~3인) (58,000원), 오리바베큐구이(150g) (17,000원), 돼지바베큐구이(150g) (17,000원), 오리샤브샤브 (20,000원), 생오리주물럭 (20,000원), 식사막국수(물/비빔) (9,000원)",매일 11:30 ~ 22:00 · 휴게시간 매일 16:00 ~ 17:00
아낙감 본점,한식,4.1,45,"서울 강남구 논현로38길 14
(지번) 도곡동 412-3",37.48507703,127.0428072,02-929-9898,"낙지볶음도시락 (15,000원), 세발낙지볶음 (43,000원), 산낙지볶음 (55,000원), 낙지파전 (30,000원), 통영생굴전 (30,000원), 산낙지연포탕 (40,000원), 낙지볶음 (38,000원), 불고기낙지전골 (11,000원), 꼬막덮밥 (11,000원), 못난이주먹밥 (6,000원), 꼬막비빔밥 (11,000원), 낙지제육덮밥 (10,000원), 육전 (35,000원), 감자탕（소） (40,000원), 감자탕（대） (50,000원), 감자전 (25,000원), 김치전 (20,000원), 꼬막전 (25,000원), 생아구탕 (40,000원), 모시조개탕 (30,000원), 낙지 한마리 연포탕（낙지） (40,000원), 1인 아구찜 (35,000원), 아구찜 （중） (73,000원), 아구찜 （대） (83,000원), 생아구수육（소） (78,000원), 생아구수육（대） (99,000원), 낙지아구해물찜（중） (88,000원), 낙지아구해물찜（대） (99,000원), 낙지버섯전골（중） (69,000원), 낙지버섯전골（대） (79,000원)",일요일
잰부닥,"육류,고기",3.5,882,"서울 강남구 강남대로42길 13 1층
(지번) 도곡동 954-13",37.48552132,127.0351545,02-577-1435,"흑돼지모듬한판(600g) (69,000원), 통통두루치기 (12,000원), 부대찌개 (10,000원), 한우투뿔등심1++ (150g) (45,000원), 한우차돌박이1++ (150g) (29,000원), 한우육회1++ (200g) (29,000원), 통삼겹살 (150g) (17,000원), 숙성통목살 (150g) (17,000원), 양념돼지갈비 (250g) (18,000원), 통항정 (150g) (23,000원), 가브리살 (150g) (19,000원), 영양갈비탕 (15,000원), 묵사발 (13,000원), 소머리국밥 (11,000원), 토하젓비빔밥 (9,000원), 통돼지김치찌개 (9,000원), 된장찌개 (9,000원), 냉면 (9,000원), 흑돼지모듬반판(300g) (35,000원)",일요일
벌교한상,한식,4.2,26,"서울 강남구 광평로46길 7 1층
(지번) 수서동 450-8",37.48584668,127.0993923,02-451-2226,"새꼬막 (통,양념) (소) (20,000원), 꼬막무침 (35,000원), 보쌈 (중) (35,000원), 문어숙회 (35,000원), 홍어회 (35,000원), 소화한상 (15,000원), 벌교한상 (24,000원), 보리굴비정찬 (31,000원)",매일 10:50 ~ 21:30
대흥정,"육류,고기",4.1,12,"서울 강남구 광평로46길 5-4
(지번) 수서동 448-4",37.48591738,127.0995288,02-3411-2500,"생불고기 (160g) (16,000원), 육회 (200g) (25,000원), 생등심 (160g) (31,000원), 왕갈비탕 (11,000원), 낙지갈비탕 (13,000원)",매일 10:00 ~ 22:00
국미당,분식,3.4,110,"서울 강남구 남부순환로359길 19 1층
(지번) 도곡동 955-12",37.48614945,127.0362218,02-533-6767,"군만두 (4,000원), 떡볶이 (4,000원), 김말이튀김 (5,000원), 부산오뎅 (3,500원), 국미당김밥 (4,000원)","월,일요일"
작은공간,분식,3.8,391,"서울 강남구 남부순환로359길 31
(지번) 도곡동 950-5",37.48683261,127.0355653,02-3462-3533,"즉석떡볶이 (2인) (16,000원), 즉석짜장떡볶이 (2인) (17,000원)","토,일 11:00 ~ 20:30"
안남,베트남음식,3.8,286,"서울 강남구 언주로 118 1층 133호
(지번) 도곡동 467-24",37.48691597,127.0518555,02-571-9412,"안남 쌀국수 (26,000원), 하노이 쌀국수 (16,000원), 매운한우쌀국수 (21,000원), 1인 세트 A(롤) (22,000원), 1인 세트 C(튀김) (22,000원), 안남플래터 (27,000원), 분짜 (35,000원), 사천식 돼지고기 튀김（소） (25,000원), 사천식 돼지고기 튀김（大） (29,000원), 돔양 쌀국수 (19,000원), 아보카도 새우볶음밥 (19,000원), 1인 세트 B(롤) (22,000원), 1인 세트 D(튀김) (22,000원), 새우 얌운센 샐러드 (14,000원), 아보카도롤 (13,000원), 새우롤 (15,000원), 소프트쉘 크랩롤 (17,000원), 넴（짜조） (13,000원), 텃만꿍 (16,000원), 프렌치 프라이 (12,000원), 공심채 (19,000원), 우삼겹공심채 (24,000원), 2인 월남쌈 (40,000원), 오렌지 치킨(대) (29,000원), 오렌지치킨(소) (25,000원), 푸팟퐁커리 (33,000원), 하프 분짜 (19,000원), 매운 쌀국수 (19,000원), 한우 쌀국수 (21,000원), 소프트쉘 크랩 볶음밥 (19,000원)",매일 11:00 ~ 21:30 · 휴게시간 매일 15:00 ~ 17:30
로마옥 도곡,양식,3.8,409,"서울 강남구 강남대로48길 11 1층
(지번) 도곡동 948-13",37.48699902,127.0340688,02-577-2396,"잣 카프레제 샐러드 (12,000원), 프로슈토 멜론 샐러드 (12,000원), 다시마 숙성 광어 카르파치오 (16,000원), 크리스피 먹물관자와 감자퓨레 (20,000원), 전복 게우 파스타 (23,000원), 봉골레 파스타 (23,000원), 블랙타이거 비스크 파스타 (24,000원), 트러플 크림 파스타 (25,000원), 오소부코 라구 파스타 (28,000원), 매생이 관자 리조또 (22,000원), 갑오징어 먹물 리조또 (24,000원), 피리피리 치킨 (29,000원), 발사믹 글레이즈 연어 스테이크 (35,000원), 마살라 소스와 수비드한 항정살 (37,000원), 안심 스테이크 (64,000원), 한우 채끝 스테이크 (64,000원), 크리스피 먹물관자와 감자퓨레(3pcs) (14,000원), 티라미쑥 (10,000원), 베리넛 세미 프레도 (10,000원)",매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00
