이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
서관면옥 교대본점,냉면,4.1,455,"서울 서초구 서초대로56길 11 1층
(지번) 서초동 1675-5",37.49399079,127.0172694,02-521-9945,"평양냉면 (16,000원), 선비냉면 (16,000원), 골동냉면 (16,000원), 맛박이냉면 (18,000원), 랭반 (17,000원), 서관면상 (점심특선) (18,000원), 한우수육 (35,000원), 돝제육 (21,000원), 서관만두 (13,000원), 녹두빈대떡 (19,000원), 어복쟁반 (작은반) (80,000원)",영업시간 매일 11:00 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:00
배나무골 양재본점,한식,4,12,"서울 서초구 마방로2길 12 보성빌딩 지하1층
(지번) 양재동 241-3",37.47309452,127.0391299,02-571-5252,"배나무골정식 (23,000원), 보리굴비정식 (26,000원), 연화코스 (49,000원), 오봉코스 (60,000원)",영업시간 월~토 11:30 ~ 21:30 · 휴게시간 월~금 15:00 ~ 17:00
조양관,한정식,3,625,"서울 서초구 서초대로74길 29 서초파라곤오피스텔 1층, 지하1층
(지번) 서초동 1327-29",37.49494259,127.0274263,02-3473-8181,"갈비찜 (대) (50,000원), 갈비찜 (소) (30,000원), 대하구이 (40,000원), 더덕 오징어 구이 (25,000원), 떡갈비 (30,000원), 메로구이 (30,000원), 모듬회 (50,000원), 문어숙회와 해조찜 (40,000원), 바싹 불고기 (25,000원), 보리굴비찜 (20,000원), 복분자 장어구이 (65,000원), 삼합 (대) (50,000원), 삼합 (소) (30,000원), 상견례 특선 (50,000원), 구절판 (0원), 삼합 (0원), 상차림 양(陽) (0원), 상차림 (0원), 상차림 관(館) (0원), 상차림 조(朝) (0원)",영업시간 월~금 11:20 ~ 21:30 · 휴게시간 월~토 15:00 ~ 17:20
초선과여포 본점,중국요리,4,206,"서울 서초구 서초대로78길 44 2층
(지번) 서초동 1330-16",37.49380708,127.0284524,02-525-9890,"짜장면 (8,000원), 삼선볶음밥 (9,500원), 레몬꿔바로우(소) (31,000원), 생등심 찹쌀등심탕수육(소) (27,000원), 생등심 찹쌀등심탕수육(중) (32,000원), 소고기 탕수육(소) (41,000원), 사천탕수육 (36,000원), 어항동구 (48,000원), 전가복 (78,000원), 칠리중새우 (45,000원)",영업시간 월~금 11:00 ~ 21:40 · 휴게시간 월~금 15:00 ~ 17:00
봉산옥 서초동본점,한식,3.6,205,"서울 서초구 반포대로8길 5-6 1층
(지번) 서초동 1451-8",37.48338221,127.0124534,02-525-2282,"봉산만둣국 (14,000원), 김치말이국수 (냉) (13,000원), 열무회국수 (13,000원), 삯국수 (12,000원), 양푼열무비빔밥 (10,000원), 접시만두 (14,000원), 오징어순대 (28,000원), 녹두빈대떡 (22,000원), 만두전골 (대) (55,000원), 만두전골 (소) (45,000원), 궁중갈비찜 (1인) (30,000원), 매운갈비찜 (1인) (30,000원), 소고기전 (18,000원)",영업시간 월~금 11:00 ~ 21:20 · 휴게시간 월~토 14:30 ~ 17:00
초동집 본점,"육류,고기",4,172,"서울 서초구 방배천로 22 1층
(지번) 방배동 452-4",37.47846869,126.9828518,02-585-2722,"삼겹살(150g) (16,000원), 제비추리(130g) (37,000원), 차돌박이(130g) (27,000원), 토시살(150g) (49,000원), 돼지갈비(250g) (18,000원), 돼지모듬(600g) (55,000원), 한우등심(150g) (38,000원), 살치살(130g) (46,000원), 한우육회(180g) (33,000원), 한우모듬(350g) (69,000원), 고급한우모듬(400g) (125,000원)",월~금 09:00 ~ 22:00
신사고집,삼겹살,4.3,28,"서울 서초구 나루터로 70 영서빌딩 1층 101호
(지번) 잠원동 19-5",37.51535293,127.0177516,02-3443-8292,"삼겹살 (200g) (18,000원), 목살 (200g) (18,000원), 가브리살 (150g) (18,000원), 항정살 (150g) (19,000원), 갈매기살 (150g) (18,000원), A set (56,000원), B set (62,000원), 해물된장찌개 (8,000원), 열무냉면 (7,000원), 고집쫄면 (6,000원), 날치알 철판볶음밥 2人 (11,000원), 치즈사리 추가 (1,000원)",영업시간 월~금 16:00 ~ 23:00
프로간장게장 신사본점,"게,대게",3.3,55,"서울 서초구 강남대로97길 7 2층
(지번) 잠원동 27-1",37.51457803,127.0191686,02-543-4126,"간장게장 (암게)(중) (92,000원), 양념게장 (암게)(중) (96,000원), 반반게장 (암게)(중) (95,000원), 꽃게범벅 (93,000원), 꽃게탕 (소) (90,000원), 꽃게찜 (85,000원), 게알비빔밥 (28,000원), 매운게알비빔밥 (30,000원)",영업시간 매일 10:00 ~ 23:00
모범갈빗살 강남역본점,"육류,고기",4.4,160,"서울 서초구 서초대로73길 40 1층 104호
(지번) 서초동 1308-25",37.50092725,127.0245579,02-533-2588,"한우 생특갈빗살 (100g) (25,000원), 한우뭉티기 (화수목 한정) (38,000원), 한우 양념특갈빗살 (100g) (25,000원), 한우 육회 (150g) (33,000원), 시골된장죽 (7,000원), 빠다밥과 즉석장조림 (7,000원)",영업시간 매일 11:30 ~ 22:00 · 휴게시간 매일 14:30 ~ 17:00
장꼬방,디저트카페,4.4,287,"서울 서초구 강남대로61길 27 1층
(지번) 서초동 1316",37.49833603,127.023794,02-597-5511,"찹쌀떡 (2,100원), 쑥 찹쌀떡 (2,500원), 팥빙수 (11,000원), 단팥죽 (9,000원), 빙수용 조림팥 ( 500g ) (9,000원), 미숫가루 ( 800g ) (17,000원), 찹쌀떡 ( 10 개입 ) (21,000원), 쑥 찹쌀떡 ( 10 개입 ) (25,000원)",매일 09:00 ~ 22:00
청류벽,국수,3.2,487,"서울 서초구 서초대로74길 29 1층 105호
(지번) 서초동 1327-29",37.49494259,127.0274263,02-2055-1191,"제복쟁반 (88,000원), 보쌈 (소) (50,000원), 양지온반 (14,000원), 육개장 (12,000원), 들기름막국수 (12,000원), 물막국수 (12,000원), 비빔막국수 (12,000원), 감자전 (12,000원), 늙은호박전 (9,000원), 군만두(겨울) (12,000원), 떡만두국(계절) (12,000원), 만두국(계절) (12,000원), 보쌈(대) (60,000원), 보쌈(소) (50,000원), 고기완자전 (12,000원)",영업시간 월~금 11:00 ~ 21:30
버드나무집 서초본점,"육류,고기",3.5,63,"서울 서초구 효령로 434 1층
(지번) 서초동 1340-5",37.48910592,127.0312045,02-3473-4167,"양념갈비 (200g)(1대) (85,000원), 주물럭 (120g) (85,000원), 등심 (130g) (88,000원), 물냉면 (15,000원), 비빔냉면 (15,000원), 생갈비 (200g)(1대) (120,000원), 안창살(130g) (88,000원), 육회(130g) (53,000원), 갈비정식(120g) (43,000원), 간장게장 (69,000원), 게장정식 (45,000원), 갈비탕 (32,000원), 소고기국밥 (15,000원), 비빔밥 (18,000원), 육회비빔밥 (30,000원), 물맛냉면 (9,000원), 비빔맛냉면 (9,000원)",영업시간 매일 11:00 ~ 21:30
밴건디스테이크하우스,"스테이크,립",4.5,494,"서울 서초구 사평대로22길 5 1층
(지번) 반포동 94-14",37.49934248,126.9977388,02-595-6062,"통베이컨 로메인 시지 (22,000원), 찌즐링 통베이컨 (12,000원), 점보 새우 구이 (12,000원), 모시,바지락,오일 스파게티 (22,000원), 통새우,아스파라거,날치알,오일 스파게티 (22,000원)",영업시간 매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:30
