이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
해주냉면,냉면,3.5,198,"서울 송파구 백제고분로7길 8-16 1층
(지번) 잠실동 195-9",37.50965271,127.0797734,02-424-7192,메뉴 없음,월~토 11:30 ~ 21:00
명인밥상,한정식,3.1,172,"서울 송파구 송이로 157 지하1층
(지번) 가락동 124-21",37.4931919,127.1252382,02-409-3355,메뉴 없음,매일 15:00 ~ 17:00
황도바지락칼국수,칼국수,3.6,579,"서울 송파구 백제고분로 358 1층
(지번) 석촌동 286-9",37.50429418,127.1060942,02-417-5058,"칼국수 (12,000원), 왕만두 (7,000원), 미니보쌈 (17,000원)",매일 10:00 ~ 22:00
군산오징어 잠실본점,"해물,생선",3.5,115,"서울 송파구 삼학사로 101 군산오징어빌딩 1,2층
(지번) 삼전동 130-14",37.50628295,127.0970019,02-413-2046,"오징어불고기 (32,000원), 오삼불고기 (32,000원), 오차돌불고기（오징어＋차돌） (36,000원), 오낙불고기 (36,000원), 갑오징어불고기 (44,000원), 갑오삼불고기 (44,000원), 오징어튀김 (16,000원), 새우튀김 (15,000원), 오징어＋새우튀김 (16,000원), 오낙전골 (42,000원), 오버섯차돌전골 (38,000원), 오징어숙회 (17,000원), 오징어순대 (20,000원), 해초한치물회 (28,000원), 돈까스 (8,000원), 오싹막국수 (7,000원), 오징어초무침 (16,000원), 주먹밥 (3,000원), 공기밥 (1,500원), 미나리 전 (12,000원), 칠성사이다 캔 355mL (2,000원), 콜라 캔 355mL (2,000원), 환타（파인） 캔 355mL (2,000원), 참이슬 (5,000원), 진로 (5,000원), 처음처럼 (5,000원), 카스 (6,000원), 클라우드 (7,000원), 레드와인（로라 하트윅 까베르네 쇼비뇽 싱글빈 야드） (34,200원), 테라 (6,000원)",매일 11:30 ~ 22:30
육화식당,삼겹살,4.3,379,"서울 송파구 올림픽로32길 29 1-2층
(지번) 방이동 70",127.1099411,37.5134183,02-424-6882,"소고기된장찌개 (7,000원), 대게장볶음밥 (7,000원), 암돼지꽃목살 (180g) (17,000원), 암돼지본삼겹 (180g) (17,000원), 한우투뿔등심 (150g) (38,000원), 한우육회(200g) (26,000원), 암돼지오겹살 (180g) (17,000원), 한우투뿔차돌(150g) (25,000원)",영업시간 월~금 16:00 ~ 00:30
뉴질랜드스토리,카페,4.4,258,"서울 송파구 석촌호수로 268 경남레이크파크 1층
(지번) 송파동 32-1",37.5097093,127.1057056,070-7523-6265,"소다 (7,000원), 아메리카노 (4,000원), 카페라떼 (5,000원), 유자에이드 (6,000원), 코코넛스무디 (7,000원), 코코넛커피 (7,500원), 플랫화이트 (4,500원), 생레몬착즙에이드 (6,000원), 로얄얼그레이 밀크티 (7,000원)","월,목,금,토,일 10:00 ~ 17:00"
피제리아라고,피자,3.9,418,"서울 송파구 백제고분로41길 39
(지번) 송파동 9-9",37.50896544,127.105895,02-422-8588,"버섯 치즈 리조또 (19,800원), 고르곤졸라 치즈 리조토 (19,800원), 해산물 리조또 (19,800원), 풍기 샐러드 (18,000원), 리코타 샐러드 (18,000원), 부팔라 카프레제 (18,000원), 루꼴라 감베로니 (19,800원), 바질 감베로니 (19,800원), 봉골레 (19,800원), 감베로니 크레마 (19,800원), 바질 감베로니 크레마 (19,800원), 포르치니 (19,800원), 카르보나라 (19,800원), 볼로네제 (20,800원), 아마트리치아나 (19,800원), 마레 (19,800원), 피칸테로제 (19,800원), 로제 리가토니 볼로네제 (20,800원), 로제 감베로니 (19,800원), 햄 플래터 (25,000원)",매일 15:00 ~ 17:00
함경도찹쌀순대,순대,3.5,761,"서울 송파구 송파대로28길 32 올림피아 오피스텔 1층
(지번) 가락동 79-7",37.49473573,127.1213021,02-403-8822,"순대국 (11,000원), 순대국 (순대만 넣어 주세요) (11,000원), 순대국 (순대 빼고 고기만 주세요) (11,000원), 공기밥 (1,000원), 찹쌀순대 (13,000원), 수육 (20,000원), 모듬 (20,000원)",매일 00:00 ~ 24:00
늘푸른목장 잠실본점,"육류,고기",3.5,343,"서울 송파구 백제고분로9길 34 1층
(지번) 잠실동 203-7",37.50958784,127.08265,02-3431-4520,"경주갈비살 (100g) (20,000원), 육회 (35,000원)",매일 12:00 ~ 24:00
중화일상,중국요리,4.1,74,"서울 송파구 백제고분로 401 골재회관 1층
(지번) 송파동 20-6",37.50729787,127.1095377,02-422-5566,"짜장면 (8,000원), 삼선유니간짜장 (10,000원), 매운해물짜장 (10,000원), 해물짬뽕 (10,000원), 하얀짬뽕 (10,000원), 차돌박이짬뽕 (11,000원), 군만두 (7,000원), 해물볶음밥 (10,000원), X.O게살볶음밥 (11,000원), 고추잡채밥 (12,000원), 유산슬밥 (15,000원), 잡탕밥 (16,000원), 중화비취냉면 (계절메뉴) (13,000원), 사천굴탕면 (계절메뉴) (13,000원), 고기튀김 (26,000원), 사천가지새우 (25,000원), 깐풍육 (26,000원), 멘보샤 (19,000원), 어향동고 (27,000원), 마파두부 (15,000원), 고추잡채와꽃빵 (26,000원), 짬뽕탕 (22,000원)",매일 11:30 ~ 21:30
마싯내,"돈까스,우동",4.3,182,"서울 송파구 석촌호수로18길 7 수정빌딩 1층 102호
(지번) 석촌동 157-4",37.50637025,127.1012002,02-2202-3979,"등심돈가스 (11,000원), 치즈돈가스（No Cut） (13,000원), 매콤철판돈가스 (13,000원), 카레돈가스 (11,500원), 새우튀김우동 (10,000원), 야채튀김우동 (11,000원), 카레우동 (12,000원), 새우튀김 2p (4,500원), 치킨가라아게 6p (5,000원), 공기밥추가 (1,000원), 소스추가（부어먹는） (500원), 소스추가（겨자소스） (500원), 카레추가 (2,500원), 콜라 500ml (2,500원), 사이다 500ml (2,500원)",월~금 15:00 ~ 17:00
호석촌,한식,3.2,951,"서울 송파구 백제고분로39길 36 1층
(지번) 석촌동 182-5",37.50732107,127.1033936,02-417-2459,"순대국 (10,000원), 호석촌정식 (13,000원), 순대국특 (12,000원), 수육한접시 (13,000원), 술국 (18,000원), 수육큰접시 (20,000원)",매일 00:00 ~ 24:00
뷰클런즈,카페,4,852,"서울 송파구 백제고분로43길 10 1층
(지번) 송파동 45-18",37.5083602,127.1095894,070-4065-4860,"아메리카노 (5,800원), 카페라떼 (6,500원), 스웨덴 스윗라떼 (7,200원), 스웨덴 밀크티 (6,800원), 스웨덴 드립커피 (6,500원), 뷰클런즈 블랜드 (6,500원), 피스타치오 프라푸치노 (7,200원), 스웨덴 콜드브루 (6,500원), 헤세라떼 (7,500원), 망고에이드 (7,200원), 자두에이드 (6,800원), 블루베리 레몬에이드 (6,800원), 미드나잇 레몬에이드 (7,200원), 쇼콜라떼 (6,800원), 어드벤트 블렌드 (6,500원), 루이보스 레몬그라스 (6,500원), 루이보스 진저레몬 (6,500원), 루이보스 오렌지 (6,500원), 피치 아웃 (6,500원)",매일 12:00 ~ 22:00
부일갈매기,"육류,고기",3.8,233,"서울 송파구 삼전로13길 4
(지번) 잠실동 242-22",37.50728787,127.0898954,02-412-1462,"제비추리 (48,000원), 소꼬리 (29,000원), 특양 (27,000원), 닭안창살 (19,000원), 염통줄기 (18,000원), 한우우설 (33,000원), 갈비살타레 (30,000원)",영업시간 월~토 17:00 ~ 22:00
풍년뼈다귀해장국,해장국,3.1,221,"서울 송파구 가락로 94 1층
(지번) 석촌동 273-6",37.50075069,127.1067117,02-415-0631,"뼈해장국 (10,000원), 우거지탕 (10,000원), 안주 (대) (45,000원), 안주 (소) (40,000원)","첫째,셋째 월요일"
수원집,갈비,3.7,164,"서울 송파구 송파대로 108 1층
(지번) 문정동 73-10",37.48047837,127.1257822,02-407-1005,"돼지갈비 (600g) (2인분) (30,000원), 돼지껍데기 (250g) (10,000원), 소고기국밥 (10,000원), 냉면 (물/비) (8,000원)",매일 11:00 ~ 23:00
엘리스리틀이태리,이탈리안,4.2,366,"서울 송파구 백제고분로41길 43-21 1층
(지번) 송파동 8",37.5086386,127.1048309,0507-1462-1528,"파스타1 (19,000원), 리조또 (20,000원), 샐러드 (17,000원), 나폴리피자1 (19,000원), 메인 (38,000원)",매일 15:00 ~ 17:30
쥬뗑뷔뜨,"제과,베이커리",4.7,355,"서울 송파구 백제고분로40길 16 1층
(지번) 석촌동 282-2",37.50316497,127.1065738,02-6403-0098,"Baguette Sandwich (9,500원), 바게트 (5,500원), 앙버터 (6,700원), 크림치즈무화과 (6,700원), 공주밤식빵 (7,500원), 버터브레첼 (4,600원), 아몬드 크루아상 (5,400원), 치즈 올리브 (5,100원), 화이트 치아바타 (4,400원), 브라운 치아바타 (4,500원), 단호박깜빠뉴 (7,500원)","월,화,목,금 11:00 ~ 19:00"
